종목명,Sector,Industry Group,Industry,10차표준(세분류),10차표준(세세분류),주요상품
우진아이엔에스,IT,디스플레이,디스플레이 및 관련 부품,건물설비 설치 공사업,건물설비 설치 공사업,반도체/디스플레이 코팅덕트
성도이엔지,IT,반도체,반도체 및 관련 장비,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","반도체크린룸 시공, 반도체장비제조"
한양이엔지,IT,반도체,반도체 및 관련 장비,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",반도체배관설비
NHN,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,한게임
액토즈소프트,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인 게임 및 모바일 게임
애닉,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,
스코넥,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등"
한빛소프트,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션"
위메이드맥스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,실크로드 온라인
더블유게임즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,모바일게임
펄어비스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인게임 개발 서비스(검은사막)
모비릭스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱
카카오게임즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,"모바일, PC게임 퍼블리싱"
미투온,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,소셜 카지노 게임
위메이드,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"미르의전설2, 미르4"
위메이드플레이,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,모바일게임
엠게임,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)"
컴투스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,모바일게임
네오위즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"피망,스페셜포스"
크래프톤,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,등 게임 소프트웨어
웹젠,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)'
고스트스튜디오,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임"
데브시스터즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어 개발 및 공급업,모바일 게임
엔씨소프트,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급"
조이시티,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인게임(프리스타일농구)
티쓰리,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,온라인 및 모바일 게임 등
드래곤플라이,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,온라인게임
넷마블,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급
골프존,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,기타 게임 소프트웨어 개발 및 공급업,골프시뮬레이터
솔브레인홀딩스,IT,디스플레이,디스플레이 및 관련 부품,경영 컨설팅 및 공공 관계 서비스업,경영 컨설팅업,"반도체,디스플레이,2차전지 공정용 화학제품"
티씨케이,IT,반도체,반도체 및 관련 장비,그 외 기타 비금속 광물제품 제조업,그 외 기타 분류 안된 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품
네패스아크,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스
아이텍,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트
두산테스나,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",반도체 테스트
