티커,ticker,EPS,SPS,BPS,유통보통주식수,자본총계,매출액,영업이익,당기순이익,현금및현금성자산,매출채권,당좌자산,재고자산,유동자산,비유동자산,유형자산,총자산,단기차입금,유동성장기부채,단기사채,유동부채,*장기차입부채,비유동부채,장기차입금,금융리스부채,총부채,매출원가,이자수익,장단기투자증권이자수익,이자비용,매출채권처분손실,세전계속사업이익,매출총이익손실,판관비등,영업활동으로인한현금흐름,유형자산감가상각비,무형자산상각비,보통주발행주식수,보통주자기주식수,단기금융상품,단기투자증권,장기금융상품,장기투자증권,관계기업등지분관련투자자산,투자부동산,회원권및제이용권
A005930,삼성전자,,,,"5,924,382,550","236,396,657,000","209,052,241,000","12,361,034,000","23,582,565,000","1,653,766,000","33,840,357,000","53,166,207,000","29,154,115,000","82,320,322,000","242,645,805,000","151,446,870,000","324,966,127,000","11,110,972,000","22,264,226,000",0,"80,157,976,000","810,233,000","8,411,494,000",0,"795,703,000","88,569,470,000","152,061,472,000",0,,0,,"21,749,578,000","56,990,769,000","44,629,735,000","52,491,497,000","30,285,298,000","2,432,272,000","5,969,782,550","45,400,000","10,187,991,000",,0,,"57,427,196,000",0,"209,532,000"
A000660,SK하이닉스,,,,"689,364,010","71,227,087,000","55,736,287,000","21,331,452,000","17,640,396,000","2,992,694,000","10,342,858,000","17,890,434,000","9,319,917,000","27,210,351,000","85,202,229,000","48,316,766,000","112,412,580,000","600,000,000","3,671,466,000",0,"21,577,947,000","18,829,061,000","19,607,546,000","4,650,545,000","1,769,090,000","41,185,493,000","28,156,175,000","877,194,000",,"1,148,327,000",,"21,271,179,000","27,580,112,000","6,248,660,000","24,197,084,000","8,059,295,000","455,913,000","728,002,365","38,638,355","1,902,500,000",,0,,"15,112,071,000","200,000",0
A373220,LG에너지솔루션,,,,"234,000,000","15,717,080,000","7,926,651,000","-2,305,178,000","-937,643,000","849,894,000","2,303,799,000","4,365,107,000","1,228,678,000","5,593,785,000","22,047,025,000","4,059,252,000","27,640,810,000",0,"157,950,000",0,"3,912,473,000","7,804,308,000","8,011,257,000",0,"28,779,000","11,923,730,000","6,842,993,000",0,,0,,"-1,075,707,000","1,083,658,000","3,388,836,000","413,529,000","402,714,000","136,836,000","234,000,000",0,0,,"60,014,000",,"13,449,510,000","226,094,000","20,901,000"
A207940,삼성바이오로직스,,,,"71,174,000","9,280,892,762","3,497,145,676","1,321,425,522","1,050,966,501","299,588,329",0,"2,109,345,243","1,882,955,515","3,992,300,758","9,324,910,167","5,047,583,099","13,317,210,925",0,0,0,"2,679,391,670","924,533,656","1,356,926,493",0,"6,776,948","4,036,318,163","1,784,146,430","54,074,763",,"34,077,261",,"1,402,377,889","1,712,999,246","391,573,724","1,382,836,127","286,089,908","12,941,110","71,174,000",0,"900,000,000",,"6,000",,"3,328,226,237",0,"13,123,671"
A005380,현대차,,,,"203,378,630","69,223,018,000","79,060,777,000","6,599,372,000","12,240,535,000","8,814,554,000","5,609,324,000","21,002,090,000","4,883,723,000","25,885,813,000","70,257,815,000","28,661,993,000","96,143,628,000","503,711,000","129,962,000",0,"20,530,589,000","669,798,000","6,390,021,000",0,"340,074,000","26,920,610,000","60,733,015,000","337,711,000",,0,,"15,283,857,000","18,327,762,000","11,728,390,000","11,874,952,000","2,012,177,000","633,345,000","209,416,191","6,037,561","4,254,024,000",,"822,000",,"27,711,998,000","118,011,000",0
A068270,셀트리온,,,,"204,726,809","17,569,313,293","3,709,213,743","1,211,013,946","1,004,841,104","693,297,810","2,612,064,795","3,727,385,652","1,556,000,634","5,283,386,286","14,957,989,500","990,101,485","20,241,375,786","1,522,822,007","85,249,485",0,"2,480,935,473","47,901,460","191,127,020","40,733,333","7,168,127","2,672,062,493","1,901,321,116","32,691,268",,"49,085,358",,"1,271,852,841","1,807,892,627","596,878,681","744,199,738","48,595,801","308,484,767","214,066,644","9,339,835","121,700,000",,0,,"4,954,584,946","23,253,681","25,754,010"
A000270,기아,,,,"393,699,263","36,682,124,000","63,256,745,000","8,499,530,000","6,707,867,000","3,089,186,000","4,529,252,000","18,200,341,000","2,859,474,000","21,059,815,000","36,176,781,000","13,144,281,000","57,236,596,000","220,859,000","837,812,000",0,"15,100,503,000","2,218,774,000","5,453,969,000",0,"43,201,000","20,554,472,000","46,968,990,000","407,276,000",,0,,"8,790,371,000","16,287,755,000","7,788,225,000","8,503,706,000","1,130,440,000","493,065,000","397,672,632","3,973,369","4,453,086,000",,"1,052,906,000",,"14,976,075,000",0,"105,579,000"
A035420,NAVER,,,,"149,005,798","13,246,655,552","6,180,892,085","1,905,258,323","1,968,704,486","886,721,942","426,937,432","3,776,990,186","672,630","3,777,662,816","13,819,448,201","1,676,426,142","17,597,111,017",0,"200,000,000",0,"1,652,795,522","2,266,702,338","2,697,659,943",0,"259,413,622","4,350,455,465",0,"74,235,049",,"61,449,380",,"2,473,109,717","6,180,892,085","4,275,633,762","2,553,656,741","112,257,832","7,700,740","158,437,008","9,431,210","1,929,168,662",,"70,955,872",,"8,360,262,679","792,157,236",0
A012450,한화에어로스페이스,,,,"45,466,548","3,521,578,313","7,935,101,828","1,499,700,415","1,038,040,280","1,375,000,869","2,327,745,904","5,573,222,678","2,541,742,515","8,114,965,192","9,249,794,096","2,462,399,394","17,364,759,288","1,813,200,000","622,369,691",0,"11,203,500,709","1,860,974,250","2,639,680,266","468,355,131","34,724,771","13,843,180,975","5,675,895,992","49,192,890",,"189,161,342",,"1,217,087,877","2,259,205,836","759,505,421","1,091,421,767","104,336,128","27,472,372","45,581,161","114,613","56,000,000",,"1,033,062",,"4,739,563,298",0,"30,234,327"
A105560,KB금융,,,,"373,600,719","24,988,558,000","38,702,000","2,170,645,000","2,170,597,000",0,0,0,0,0,0,"2,800,000","29,806,823,000",0,0,0,0,0,0,0,0,"4,818,265,000","101,073,000",0,,"22,898,000",,"2,170,655,000","-62,371,000","-2,233,016,000","2,206,732,000","6,051,000",0,"393,528,423","19,927,704",0,,0,,"26,867,817,000",0,"10,727,000"
A329180,HD현대중공업,,,,"88,773,116","5,702,599,774","14,476,389,927","702,543,395","618,334,643","1,242,675,550","1,402,916,658","8,902,870,766","1,495,877,265","10,398,748,031","9,002,546,141","6,571,431,558","19,401,294,172","27,640,312","362,613,000",0,"11,810,579,613","770,800,551","1,888,114,785","99,999,744","19,194,807","13,698,694,398","12,989,617,319",0,,0,,"794,534,748","1,486,772,608","784,229,213","2,886,380,994","289,681,000","12,505,000","88,773,116",0,"131,000,000",,"8,231",,"56,938,383","1,378,979",0
A012330,현대모비스,,,,"90,490,640","29,360,153,000","36,604,026,000","1,802,853,000","2,594,221,000","985,305,000","7,971,386,000","13,924,588,000","2,985,617,000","16,910,205,000","20,614,008,000","7,213,217,000","37,524,213,000","4,325,000","48,843,000",0,"6,923,276,000","253,218,000","1,240,784,000",0,"53,423,000","8,164,060,000","31,384,907,000","232,486,000",,"7,649,000",,"3,129,289,000","5,219,119,000","3,416,266,000","2,831,367,000","411,595,000","64,726,000","92,995,094","2,504,454",0,,"17,000",,"10,710,372,000","27,590,000","96,515,000"
A055550,신한지주,,,,"495,842,064","26,348,175,000","98,770,000","1,800,863,000","1,619,867,000",0,0,0,0,0,0,"6,509,000","37,672,303,000",0,0,0,0,0,0,0,0,"11,324,128,000","334,798,000","98,770,000",,"334,798,000",,"1,631,752,000","-236,028,000","-2,036,891,000","1,444,611,000","5,137,000",0,"503,445,325","7,603,261",0,,0,,"30,623,651,000",0,"3,020,000"
A138040,메리츠금융지주,,,,"179,072,080","3,673,545,042","8,660,805","1,220,367,370","1,227,608,232","277,174,880",0,0,0,0,0,"2,022,299","5,240,473,765",0,0,0,0,0,0,0,0,"1,566,928,723","57,391,264","8,660,805",,"57,381,401",,"1,220,359,772","-48,730,459","-1,269,097,828","1,094,292,161","1,250,179","112,079","190,720,114","11,648,034",0,,0,,"4,325,431,472",0,"4,127,000"
A005490,POSCO홀딩스,,,,"75,620,779","48,189,029,932","1,997,127,595","1,596,420,466","1,621,282,437","409,387,292","178,822,234","3,793,468,663",0,"3,793,468,663","46,840,328,775","415,992,817","50,633,797,437",0,"39,053,483",0,"162,831,292","1,500,049","2,281,936,213","1,500,049",0,"2,444,767,505",0,0,,0,,"1,556,076,283","1,997,127,595","400,707,129","1,817,875,664","14,271,491","1,711,805","82,624,377","7,003,598","2,686,420,149",,"2,000",,"45,631,965,399","328,372,086","10,072,000"
A042660,한화오션,,,,"306,397,187","4,515,193,277","10,764,756,995","210,774,154","497,550,276","414,334,465","664,456,508","8,192,660,526","3,045,973,236","11,238,633,762","6,168,576,181","3,903,542,248","17,407,209,943","3,167,134,847","60,012,145",0,"10,350,506,492","2,057,420,805","2,541,510,175","1,962,264,688","95,156,117","12,892,016,666","10,123,722,004","57,287,000",,"166,433,000",,"141,169,563","641,034,991","430,260,837","-2,853,798,720","146,803,000","6,062,000","306,413,394","16,207","11,454,874",,"1,952,821",,"868,223,214",0,0
A028260,삼성물산,,,,"162,167,581","26,546,752,386","22,913,282,644","947,298,607","1,417,545,241","1,042,980,265","3,394,186,443","8,456,557,290","976,470,887","9,433,028,177","31,887,853,131","2,009,670,902","41,320,881,308","489,520,802","1,180,141,052",0,"8,345,748,154","1,162,184,012","6,428,380,768","6,764,012","456,979,000","14,774,128,922","19,624,964,612","145,957,585",,"158,089,593",,"1,730,400,226","3,288,318,033","2,341,019,426","1,551,058,925","212,703,825",0,"177,784,107","15,616,526","77,975,859",,"65,000",,"4,849,214,793","118,678,003","47,200,000"
A035720,카카오,,,,"439,008,707","7,214,324,931","2,595,101,463","491,969,958","38,156,547","1,954,214,932","180,630,181","2,440,948,579","30,515,196","2,471,463,775","9,136,023,133","861,445,335","11,607,486,908","244,438,187",0,0,"2,771,146,601","1,405,006,171","1,622,015,376",0,"1,405,006,171","4,393,161,977",0,"74,385,456",,"72,722,614",,"170,139,039","2,595,101,463","2,103,131,505","795,681,188","300,098,181","19,869,574","443,662,117","4,653,410","11,500,000",,"10,000,000",,"4,924,266,231","406,891,766",0
A196170,알테오젠,,,,"53,295,120","301,126,931","92,969,045","30,629,831","71,232,721","11,624,550","17,142,973","181,177,002","689,455","181,866,457","149,781,556","19,004,817","331,648,013","5,000,000",0,0,"24,926,556","5,090,871","5,594,526","5,000,000","90,871","30,521,083","29,452,400","5,153,642",,0,,"47,141,705","63,516,645","32,886,814","54,713,626","2,399,700","188,470","53,318,828","23,708","144,759,073",,0,,"8,548,158",0,0
A259960,크래프톤,,,,"45,463,100","6,833,506,216","2,636,975,533","1,208,574,641","1,376,266,876","416,919,920","997,093,260","4,660,209,356",0,"4,660,209,356","3,092,122,747","157,075,910","7,752,332,103",0,0,0,"745,386,324","78,228,955","173,439,564",0,"78,228,955","918,825,888",0,"22,438,025",,"6,508,249",,"1,804,543,322","2,636,975,533","1,428,400,891","877,281,445","59,457,539","4,564,484","47,907,674","2,444,574",0,,"7,365,683",,"1,656,116,934","557,388,744","1,130,649"
A000810,삼성화재,,,,"39,828,296","15,295,837,547","17,152,528,209","2,699,543,858","2,047,781,248","2,288,264,076",0,0,0,0,0,"648,997,230","85,223,562,940",0,0,0,0,0,0,0,0,"69,927,725,393",0,"2,184,478,000",,"458,751,000",,"2,704,084,375","17,152,528,209","14,452,984,350","2,163,848,337","137,255,000","73,311,000","47,374,837","7,546,541",0,,0,,"750,180,730","186,377,157",0
A011200,HMM,,,,"881,039,496","27,727,729,000","11,513,430,000","3,489,735,000","3,671,228,000","1,188,695,000","1,110,316,000","17,453,093,000","393,930,000","17,847,023,000","15,538,998,000","9,762,475,000","33,386,021,000",0,"929,244,000",0,"2,284,618,000","3,218,646,000","3,373,674,000","88,516,000","3,073,520,000","5,658,292,000","7,808,634,000",0,,0,,"3,755,206,000","3,704,796,000","215,061,000","4,766,229,000","875,819,000",0,"881,039,496",0,"14,369,500,000",,"500,000",,"497,120,000",0,"5,971,000"
A086790,하나금융지주,,,,"280,383,889","19,842,783,000","7,711,000","1,788,501,000","1,762,587,000",0,0,0,0,0,0,"16,215,000","25,600,923,000",0,0,0,0,0,0,0,0,"5,758,140,000","162,001,000","7,711,000",,"162,001,000",,"1,772,730,000","-154,290,000","-1,942,791,000","1,734,937,000","3,777,000",0,"287,240,880","6,856,991",0,,0,,"23,914,521,000",0,"7,278,000"
A032830,삼성생명,,,,"179,574,779","25,097,358,000","10,766,701,000","1,542,926,000","1,486,936,000","3,487,931,000",0,0,0,0,0,"644,809,000","275,321,056,000",0,0,0,0,0,0,0,0,"250,223,698,000",0,"5,903,968,000",,"1,133,504,000",,"1,821,290,000","10,766,701,000","9,223,775,000","8,185,644,000","48,453,000","40,624,000","200,000,000","20,425,221",0,,0,,"21,523,726,000","3,549,899,000","70,248,000"
A051910,LG화학,,,,"70,592,343","20,265,132,000","20,601,857,000","154,398,000","166,523,000","1,888,049,000","3,382,992,000","5,942,965,000","2,913,432,000","8,856,397,000","25,379,389,000","12,138,943,000","34,235,786,000","60,381,000","4,495,071,000",0,"7,595,978,000","5,928,066,000","6,374,676,000","766,652,000","52,546,000","13,970,654,000","17,434,819,000",0,,0,,"-667,271,000","3,167,038,000","3,012,640,000","1,660,325,000","1,198,129,000","207,815,000","70,592,343",0,0,,"206,119,000",,"10,298,573,000","59,523,000","18,315,000"
A096770,SK이노베이션,,,,"150,518,580","21,295,366,140","1,874,893,743","493,227,201","277,982,008","2,602,720,519","185,157,497","3,459,830,919","116,459,531","3,576,290,450","31,451,690,766","495,766,031","35,027,981,216","3,781,347,657","1,005,971,211",0,"5,453,620,739","6,946,201,035","8,278,994,336","4,583,455,000","196,311,791","13,732,615,075","1,045,078,776","55,567,000",,"137,157,000",,"344,286,665","829,814,967","336,587,766","599,183,087","82,297,000","64,911,000","151,034,776","516,196","17,000,000",,"7,043,500",,"29,251,450,640","134,424,509","39,891,000"
A015760,한국전력,,,,"641,964,077","19,389,035,000","91,646,582,000","3,166,658,000","829,339,000","293,199,000","10,413,445,000","13,115,710,000","241,975,000","13,357,685,000","126,114,418,000","82,065,399,000","139,472,103,000","8,200,000,000","27,621,766,000",0,"53,002,627,000","52,702,178,000","67,080,441,000","15,208,000","660,816,000","120,083,068,000","86,490,574,000","86,889,000",,"2,946,080,000",,"1,000,345,000","5,156,008,000","1,989,350,000","9,219,989,000","4,307,009,000","61,797,000","641,964,077",0,0,,0,,"30,949,324,000","372,010,000",0
A010130,고려아연,,,,"18,163,557","6,686,151,073","8,089,016,782","813,894,062","429,249,016","462,325,596","361,679,569","2,983,605,575","2,976,834,182","5,960,439,757","6,287,968,171","2,175,614,830","12,248,407,927","2,997,554,183","1,066,082","996,799,310","5,475,068,049","66,102,628","87,188,805","1,130,201","64,972,427","5,562,256,854","7,048,449,698","72,497,008",,"81,299,371",,"527,149,310","1,040,567,085","226,673,023","545,125,396","229,710,705","2,365,587","20,703,283","2,539,726","40,039,635",,"8,000",,"3,180,765,517","88,973,453","33,353,753"
A034020,두산에너빌리티,,,,"640,465,168","5,736,333,000","6,320,304,000","393,427,000","-170,305,000","645,087,000","602,769,000","3,712,531,000","335,840,000","4,048,371,000","9,708,503,000","3,152,671,000","13,756,874,000","1,809,642,000","261,797,000",0,"5,687,590,000","1,622,074,000","2,332,951,000","819,840,000","116,086,000","8,020,541,000","5,479,395,000","46,078,000",,"168,213,000",,"-173,086,000","840,909,000","447,482,000","-113,720,000","102,150,000","35,620,000","640,561,146","95,978","49,400,000",,"22,560,000",,"4,071,935,000","113,710,000",0
A009540,HD한국조선해양,,,,"70,714,630","11,680,534,057","516,796,333","17,258,282","165,597,977","762,696,863","87,307,888","1,955,634,477","71,499,272","2,027,133,749","10,030,123,661","600,537,639","12,057,257,410",0,0,0,"331,705,964","22,140,702","45,017,389","11,812,755","10,327,947","376,723,353","425,641,407",0,,0,,"214,685,922","91,154,926","73,896,644","225,208,157","26,698,000","1,332,000","70,773,116","58,486","980,500,000",,"2,000",,"9,012,227,620","139,778,311",0
A006400,삼성SDI,,,,"65,433,139","13,887,271,890","16,097,841,111","-57,684,824","873,958,121","258,426,423","3,229,119,276","6,457,352,622","877,149,172","7,334,501,795","14,217,647,797","2,337,121,578","21,552,149,592","3,405,142,469",0,0,"6,417,763,759","47,615,519","1,247,113,943",0,"47,615,519","7,664,877,702","13,756,029,693","50,347,226",,"161,655,301",,"751,108,265","2,341,811,419","2,399,496,243","-1,455,186","375,711,135","56,387,846","68,764,530","3,331,391","100,000,000",,"19,500",,"10,117,895,472","135,686,765",0
A033780,KT&G,,,,"107,856,043","7,707,496,000","3,704,548,000","981,668,000","1,003,165,000","588,812,000","1,077,892,000","2,850,678,000","1,316,201,000","4,166,879,000","6,934,557,000","1,505,680,000","11,101,436,000","250,000,000","106,798,000",0,"2,485,334,000","822,396,000","908,606,000",0,"14,357,000","3,393,940,000","1,927,063,000",0,,0,,"1,339,354,000","1,777,485,000","795,817,000","810,106,000","143,198,000","23,088,000","125,362,497","17,506,454","105,203,000",,"1,706,204,000",,"2,050,644,000","741,435,000","29,350,000"
A030200,KT,,,,"245,832,946","14,420,140,000","18,579,678,000","346,489,000","326,916,000","1,540,570,000","2,541,586,000","6,667,923,000","224,678,000","6,892,601,000","22,636,279,000","11,477,680,000","29,528,880,000",0,"2,434,204,000",0,"7,633,219,000","5,937,711,000","7,475,521,000","300,494,000","499,996,000","15,108,740,000",0,"219,457,000",,"273,548,000",,"403,797,000","18,579,678,000","18,233,189,000","3,922,003,000","2,808,784,000","467,806,000","252,021,685","6,188,739",0,,0,,"4,831,186,000","1,114,379,000","792,512,000"
A017670,SK텔레콤,,,,"212,886,342","10,960,854,000","12,774,060,000","1,523,175,000","1,280,484,000","1,165,158,000","1,508,893,000","5,203,423,000","38,982,000","5,242,405,000","19,343,221,000","8,515,225,000","24,585,626,000",0,"2,297,835,000",0,"6,240,886,000","6,005,435,000","7,383,886,000","200,000,000","850,311,000","13,624,772,000",0,"43,168,000",,"315,794,000",,"1,477,084,000","12,774,060,000","11,250,885,000","4,188,933,000","2,780,178,000",0,"214,790,053","1,903,711","79,000,000",,"354,000",,"4,899,558,000","35,462,000","1,193,603,000"
A316140,우리금융지주,,,,"742,537,556","24,152,731,000","51,778,000","1,123,301,000","1,123,332,000","1,185,912,000",0,0,0,0,0,"5,304,000","26,353,037,000",0,0,0,0,0,0,0,0,"2,200,306,000","49,650,000","51,778,000",,"49,650,000",,"1,123,154,000","2,128,000","-1,121,173,000","1,148,595,000","5,728,000",0,"742,591,501","53,945",0,,0,,"24,206,017,000",0,"2,371,000"
A010140,삼성중공업,,,,"854,035,571","3,722,844,347","9,867,428,881","453,922,827","15,686,756","888,448,683","1,077,559,978","8,879,741,566","450,129,404","9,329,870,970","7,667,982,710","4,715,386,867","16,997,853,680","1,652,630,094","925,634,836","380,000,000","11,878,026,949","379,988,995","1,396,982,384","44,720,000","260,361,987","13,275,009,333","9,042,790,408","35,300,683",,"202,228,495",,"-362,732,781","824,638,474","370,715,647","993,735,605","254,513,825","3,491,089","880,000,000","25,964,429","33,851,151",,"17,000",,"272,256,492",0,"17,581,083"
A066570,LG전자,,,,"162,884,638","11,477,051,000","30,762,552,000","558,964,000","1,136,633,000","1,204,080,000","6,275,525,000","10,471,905,000","1,465,092,000","11,936,997,000","22,961,485,000","6,224,208,000","34,898,482,000","43,462,000","858,338,000",0,"14,608,535,000","8,516,504,000","8,812,896,000","2,862,371,000","55,562,000","23,421,431,000","22,359,808,000",0,,"134,842,000",,"1,108,827,000","8,402,744,000","7,843,780,000","1,866,415,000","614,101,000","441,399,000","163,647,814","763,176",0,,"120,631,000",,"8,642,277,000","76,144,000","22,919,000"
