티커,ticker,EPS,SPS,BPS,유통보통주식수,자본총계,매출액,영업이익,당기순이익,현금및현금성자산,매출채권,당좌자산,재고자산,유동자산,비유동자산,유형자산,총자산,단기차입금,유동성장기부채,단기사채,유동부채,*장기차입부채,비유동부채,장기차입금,금융리스부채,총부채,매출원가,이자수익,장단기투자증권이자수익,이자비용,매출채권처분손실,세전계속사업이익,매출총이익손실,판관비등,영업활동으로인한현금흐름,유형자산감가상각비,무형자산상각비,보통주발행주식수,보통주자기주식수,단기금융상품,단기투자증권,장기금융상품,장기투자증권,관계기업등지분관련투자자산,투자부동산,회원권및제이용권
A005930,삼성전자,,,,5924382550.0,236396657000.0,209052241000.0,12361034000.0,23582565000.0,1653766000.0,33840357000.0,53166207000.0,29154115000.0,82320322000.0,242645805000.0,151446870000.0,324966127000.0,11110972000.0,22264226000.0,0.0,80157976000.0,810233000.0,8411494000.0,0.0,795703000.0,88569470000.0,152061472000.0,0.0,,0.0,,21749578000.0,56990769000.0,44629735000.0,52491497000.0,30285298000.0,2432272000.0,5969782550.0,45400000.0,10187991000.0,,0.0,,57427196000.0,0.0,209532000.0
A000660,SK하이닉스,,,,689364010.0,71227087000.0,55736287000.0,21331452000.0,17640396000.0,2992694000.0,10342858000.0,17890434000.0,9319917000.0,27210351000.0,85202229000.0,48316766000.0,112412580000.0,600000000.0,3671466000.0,0.0,21577947000.0,18829061000.0,19607546000.0,4650545000.0,1769090000.0,41185493000.0,28156175000.0,877194000.0,,1148327000.0,,21271179000.0,27580112000.0,6248660000.0,24197084000.0,8059295000.0,455913000.0,728002365.0,38638355.0,1902500000.0,,0.0,,15112071000.0,200000.0,0.0
A373220,LG에너지솔루션,,,,234000000.0,15717080000.0,7926651000.0,-2305178000.0,-937643000.0,849894000.0,2303799000.0,4365107000.0,1228678000.0,5593785000.0,22047025000.0,4059252000.0,27640810000.0,0.0,157950000.0,0.0,3912473000.0,7804308000.0,8011257000.0,0.0,28779000.0,11923730000.0,6842993000.0,0.0,,0.0,,-1075707000.0,1083658000.0,3388836000.0,413529000.0,402714000.0,136836000.0,234000000.0,0.0,0.0,,60014000.0,,13449510000.0,226094000.0,20901000.0
A207940,삼성바이오로직스,,,,71174000.0,9280892762.0,3497145676.0,1321425522.0,1050966501.0,299588329.0,0.0,2109345243.0,1882955515.0,3992300758.0,9324910167.0,5047583099.0,13317210925.0,0.0,0.0,0.0,2679391670.0,924533656.0,1356926493.0,0.0,6776948.0,4036318163.0,1784146430.0,54074763.0,,34077261.0,,1402377889.0,1712999246.0,391573724.0,1382836127.0,286089908.0,12941110.0,71174000.0,0.0,900000000.0,,6000.0,,3328226237.0,0.0,13123671.0
A005380,현대차,,,,203378630.0,69223018000.0,79060777000.0,6599372000.0,12240535000.0,8814554000.0,5609324000.0,21002090000.0,4883723000.0,25885813000.0,70257815000.0,28661993000.0,96143628000.0,503711000.0,129962000.0,0.0,20530589000.0,669798000.0,6390021000.0,0.0,340074000.0,26920610000.0,60733015000.0,337711000.0,,0.0,,15283857000.0,18327762000.0,11728390000.0,11874952000.0,2012177000.0,633345000.0,209416191.0,6037561.0,4254024000.0,,822000.0,,27711998000.0,118011000.0,0.0
A068270,셀트리온,,,,204726809.0,17569313293.0,3709213743.0,1211013946.0,1004841104.0,693297810.0,2612064795.0,3727385652.0,1556000634.0,5283386286.0,14957989500.0,990101485.0,20241375786.0,1522822007.0,85249485.0,0.0,2480935473.0,47901460.0,191127020.0,40733333.0,7168127.0,2672062493.0,1901321116.0,32691268.0,,49085358.0,,1271852841.0,1807892627.0,596878681.0,744199738.0,48595801.0,308484767.0,214066644.0,9339835.0,121700000.0,,0.0,,4954584946.0,23253681.0,25754010.0
A000270,기아,,,,393699263.0,36682124000.0,63256745000.0,8499530000.0,6707867000.0,3089186000.0,4529252000.0,18200341000.0,2859474000.0,21059815000.0,36176781000.0,13144281000.0,57236596000.0,220859000.0,837812000.0,0.0,15100503000.0,2218774000.0,5453969000.0,0.0,43201000.0,20554472000.0,46968990000.0,407276000.0,,0.0,,8790371000.0,16287755000.0,7788225000.0,8503706000.0,1130440000.0,493065000.0,397672632.0,3973369.0,4453086000.0,,1052906000.0,,14976075000.0,0.0,105579000.0
A035420,NAVER,,,,149005798.0,13246655552.0,6180892085.0,1905258323.0,1968704486.0,886721942.0,426937432.0,3776990186.0,672630.0,3777662816.0,13819448201.0,1676426142.0,17597111017.0,0.0,200000000.0,0.0,1652795522.0,2266702338.0,2697659943.0,0.0,259413622.0,4350455465.0,0.0,74235049.0,,61449380.0,,2473109717.0,6180892085.0,4275633762.0,2553656741.0,112257832.0,7700740.0,158437008.0,9431210.0,1929168662.0,,70955872.0,,8360262679.0,792157236.0,0.0
A012450,한화에어로스페이스,,,,45466548.0,3521578313.0,7935101828.0,1499700415.0,1038040280.0,1375000869.0,2327745904.0,5573222678.0,2541742515.0,8114965192.0,9249794096.0,2462399394.0,17364759288.0,1813200000.0,622369691.0,0.0,11203500709.0,1860974250.0,2639680266.0,468355131.0,34724771.0,13843180975.0,5675895992.0,49192890.0,,189161342.0,,1217087877.0,2259205836.0,759505421.0,1091421767.0,104336128.0,27472372.0,45581161.0,114613.0,56000000.0,,1033062.0,,4739563298.0,0.0,30234327.0
A105560,KB금융,,,,373600719.0,24988558000.0,38702000.0,2170645000.0,2170597000.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0,29806823000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4818265000.0,101073000.0,0.0,,22898000.0,,2170655000.0,-62371000.0,-2233016000.0,2206732000.0,6051000.0,0.0,393528423.0,19927704.0,0.0,,0.0,,26867817000.0,0.0,10727000.0
