티커,ticker,총자본,매출액,매출원가,영업이익,당기순이익,보통주발행주식수,보통주자기주식수,유통보통주식수
A005930,삼성전자,2.37856E+11,2.13347E+11,1.55747E+11,11822927000,20232325000,5919637922,45400000,5874237922
A000660,SK하이닉스,78163047000,61279762000,29216692000,25193685000,23094887000,728002365,37590242,690412123
A207940,삼성바이오로직스,9599937538,3827188833,1872425029,1518722162,1186951143,71174000,0,71174000
A373220,LG에너지솔루션,15487810000,8195788000,7141471000,-2347227000,-1560017000,234000000,0,234000000
A005380,현대차,69547948000,79869041000,61077009000,6926589000,10498240000,209416191,7412610,202003581
A012450,한화에어로스페이스,3801759473,8544650442,5965548970,1799586036,1464936178,45581161,114613,45466548
A105560,KB금융,0,0,0,0,0,393528423,26629053,366899370
A000270,기아,35689721000,63634612000,47765426000,7984953000,6231888000,397672632,6203369,391469263
A329180,HD현대중공업,5805261550,15309455928,13344310893,1114990320,873384358,88773116,0,88773116
A068270,셀트리온,17329507277,3704975846,1825715890,1318651895,1110480201,222989898,9768640,213221258
A035420,NAVER,13597613044,6376668274,0,1982018167,2149159116,158437008,9175177,149261831
A055550,신한지주,0,0,0,0,0,503445325,23306521,480138804
A034020,두산에너빌리티,5726193000,6332451000,5481812000,376697000,-244787000,640561146,95978,640465168
A042660,한화오션,4734670415,11678810233,10753010999,424108610.1,665364875,306413394,16207,306397187
A012330,현대모비스,29348615000,36588871000,31109140000,1926646000,2542429000,92995094,3658454,89336640
A011200,HMM,27808992000,12038718000,8115504000,3699787000,3932211000,881039496,0,881039496
A028260,삼성물산,27257487677,21944699457,18701418378,892987457,1378229090,169976544,7808963,162167581
A138040,메리츠금융지주,0,0,0,0,0,180014473,7967895,172046578
A009540,HD한국조선해양,11744245790,964472256,451701783,432458100,576089848,70773116,58486,70714630
A005490,POSCO홀딩스,48636222269,1763086956,0,1357726039,1268701154,80932952,5312173,75620779
A086790,하나금융지주,0,0,0,0,0,287240880,11456991,275783889
A015760,한국전력,22028121000,92725898000,86940681000,3805681000,3060494000,641964077,0,641964077
A259960,크래프톤,7199020372,2848746914,0,1348370248,1391230502,47918199,3247820,44670379
A032830,삼성생명,0,0,0,0,0,200000000,20425221,179574779
A000810,삼성화재,0,0,0,0,0,47374837,7546541,39828296
A196170,알테오젠,390261127.3,141396502.9,34629548.52,74594176.67,133618675.4,53318828,23708,53295120
A010130,고려아연,6758703034,8664002127,7507930901,895943938.8,494666743,20703283,2525608,18177675
A035720,카카오,7274232854,2616373577,0,458169957.6,-13883312.01,443872400,4653062,439219338
A033780,KT&G,7461550000,3829974000,1998553000,972044000,932655000,122062497,14189001,107873496
A267260,HD현대일렉트릭,1396687863,3104871044,2042720689,731538142.2,525165706.1,36047135,54431,35992704
A402340,SK스퀘어,6625204000,324057000,0,264062000,-12116000,132540858,291998,132248860
A051910,LG화학,20224475000,20648057000,17512508000,79027000,73918000,70592343,1,70592342
A316140,우리금융지주,0,0,0,0,0,742591501,5003945,737587556
A030200,KT,14631637000,18566857000,0,352830000,338262000,252021685,8248677,243773008
A006400,삼성SDI,13628385470,14396244596,12448268056,-545911141.6,-243920510.6,68764530,3331391,65433139
A096770,SK이노베이션,23657782583,4283684720,1222714690,2693990194,2588788167,151034776,3403156,147631620
A010140,삼성중공업,3791436592,10035936391,9080681744,552578783.7,183786256.7,880000000,25964429,854035571
A064350,현대로템,2134260360,4712900535,3727927264,623525165,516179655,109142293,0,109142293
A024110,기업은행,0,0,0,0,0,797425869,2,797425867
A352820,하이브,2703348480,754785896,513670392,37506739,184610331,41652097,129140,41522957
A066570,LG전자,11553910000,30977057000,22443447000,550854000,524317000,163647814,763176,162884638
A017670,SK텔레콤,11177028000,12752835000,0,1569114000,1262970000,214790053,1898851,212891202
A003550,LG,9395962000,854363000,0,575093000,435638000,157300993,6108989,151192004
A323410,카카오뱅크,0,0,0,0,0,476976137,532334,476443803
A034730,SK,16250842000,3257429000,0,568182000,709766000,72502703,17980698,54522005
A018260,삼성에스디에스,6898166159,5478514305,4274039044,533386224.4,1141064251,77377800,27614,77350186
A079550,LIG넥스원,1242212522,3395364136,2892252339,291963329.1,245419514,22000000,205640,21794360
A009150,삼성전기,6201415815,7698729245,6635915144,138698378.8,278741357.6,74693696,2000000,72693696
A247540,에코프로비엠,1415924828,710706973.8,718321571.9,-114217306.3,-126307044.7,97801344,71865,97729479
A003230,삼양식품,832600021.7,1553847617,930673540.1,379112682.9,292893915.6,7533015,0,7533015
A272210,한화시스템,3226394413,2823290354,2386704837,240280314.7,271765109.1,188919389,1926128,186993261
A000100,유한양행,2039388062,2044620647,1394605196,72609178.54,99673841.4,80209064,6418129,73790935
A047810,한국항공우주,1730851823,3556982684,3061519159,239408878,170863850.2,97475107,0,97475107
A047050,포스코인터내셔널,5573439170,27384990575,26038035290,874761104,488067696,175922788,5478301,170444487
A003670,포스코퓨처엠,2823035801,3307661421,3094645182,2404062.25,-244177385.7,77463220,0,77463220
A042700,한미반도체,552442759.6,622924548.4,258162316.3,295157604.3,138638673.7,96614259,1761257,94853002
A086280,현대글로비스,7434378187,22062025968,20231407743,1349776522,1097571805,75000000,0,75000000
A003490,대한항공,10359249268,16249991782,12942513977,1818230632,1070479633,368220661,49,368220612
A180640,한진칼,2759680267,128457713.7,0,98978151.59,169592497.4,66762279,440041,66322238
A010120,LS ELECTRIC,1746359335,3096615078,2421810735,311171857.5,208507416,30000000,295449,29704551
A006800,미래에셋증권,0,0,0,0,0,570316408,131035874,439280534
A090430,아모레퍼시픽,4776002297,2463726157,833464837.5,148139211.5,3275883.65,58492759,65251,58427508
A326030,SK바이오팜,618219665.6,530971394.1,43732297.41,147886737.2,279304029.1,78313250,0,78313250
A028300,HLB,1023567704,21424568.93,18649784.17,-18044984.02,-89731781.99,131425086,256020,131169066
A010620,HD현대미포,2036149637,4751509668,4469789189,133336385,140387141,39942149,57851,39884298
A005830,DB손해보험,0,0,0,0,0,70800000,10756531,60043469
A000150,두산,3085687000,1234743000,848581000,149900000,145788000,16523835,2961319,13562516
A021240,코웨이,2382205335,3219188146,1255406884,595448323.6,410106670.2,72563745,654612,71909133
A267250,HD현대,6092808498,434880534,70582899,343543182,315113757,78993085,8324655,70668430
A009830,한화솔루션,10162576000,5921683102,5455404205,-259097214.3,-830112717,171892536,2544257,169348279
A010950,S-Oil,8649182000,35832768000,35095556000,-56505000,-396181000,112582792,0,112582792
A032640,LG유플러스,8629936000,13616054000,0,921371000,511359000,436611361,6783009,429828352
A086520,에코프로,0,0,0,0,0,135776152,1224469,134551683
A298040,효성중공업,1894415630,3433791976,2868575493,253331679,166583934.2,9324548,12807,9311741
A071050,한국금융지주,0,0,0,0,0,55725992,2987479,52738513
A277810,레인보우로보틱스,0,0,0,0,0,19399858,0,19399858
A000720,현대건설,6947043000,16452748000,16181768000,-263945000,76458000,111355765,0,111355765
A005940,NH투자증권,0,0,0,0,0,327492299,3533671,323958628
