Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABAT,American Battery Technology Company Common Stock,$1.03,-0.02,-1.905%,60356077.00,United States,,233655,Basic Materials,Metal Mining
AEM,Agnico Eagle Mines Limited Common Stock,$81.86,2.76,3.489%,40920691536.00,Canada,,3199865,Basic Materials,Precious Metals
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$5.79,0.62,11.992%,1746304854.00,Canada,,14921154,Basic Materials,Precious Metals
AGI,Alamos Gold Inc. Class A Common Shares,$20.06,1.15,6.081%,8419536240.00,Canada,2015,6898488,Basic Materials,Precious Metals
AMLI,American Lithium Corp. Common Stock,$0.3801,0.0207,5.76%,82694366.00,Canada,,177479,Basic Materials,Metal Mining
AMWD,American Woodmark Corporation Common Stock,$85.02,2.39,2.892%,1317584017.00,United States,1986,163868,Basic Materials,Forest Products
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.04,0.0441,4.428%,138390933.00,Canada,,1053579,Basic Materials,Metal Mining
AU,AngloGold Ashanti PLC Ordinary Shares,$27.95,0.55,2.007%,11731449475.00,South Africa,,3475254,Basic Materials,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.27,0.0001,0.037%,4059463.00,United States,,225453,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.9247,0.0447,5.08%,12272387.00,,2022,82146,Basic Materials,Precious Metals
BTG,B2Gold Corp Common shares (Canada),$3.10,0.36,13.139%,4063473521.00,Canada,,41046241,Basic Materials,Precious Metals
BVN,Buenaventura Mining Company Inc.,$12.51,0.52,4.337%,3177375706.00,Peru,1996,1773478,Basic Materials,Metal Mining
CCJ,Cameco Corporation Common Stock,$40.74,0.76,1.901%,17729256503.00,Canada,1996,4459538,Basic Materials,Other Metals and Minerals
CDE,Coeur Mining Inc. Common Stock,$6.85,1.10,19.13%,2734841443.00,United States,,16528708,Basic Materials,Precious Metals
CGAU,Centerra Gold Inc. Common Shares,$6.98,0.36,5.438%,1484811998.00,Canada,2021,605514,Basic Materials,Precious Metals
CHNR,China Natural Resources Inc. Common Stock,$0.609,-0.1186,-16.30%,6008252.00,Hong Kong,,274590,Basic Materials,Precious Metals
CLF,Cleveland-Cliffs Inc. Common Stock,$11.35,0.22,1.977%,5312258892.00,United States,,14562950,Basic Materials,Metal Mining
CLW,Clearwater Paper Corporation Common Stock,$28.81,0.82,2.93%,479169101.00,United States,,365273,Basic Materials,Paper
CMCL,Caledonia Mining Corporation Plc Common Shares,$13.92,0.87,6.667%,267097976.00,Canada,,105415,Basic Materials,Precious Metals
CRML,Critical Metals Corp. Ordinary Shares,$7.10,0.58,8.896%,643544000.00,British Virgin Islands,,16485,Basic Materials,Metal Mining
CRMLW,Critical Metals Corp. Warrants,$0.2725,0.025,10.101%,24699400.00,British Virgin Islands,,41762,Basic Materials,Metal Mining
CTGO,Contango ORE Inc. Common Stock,$21.09,0.04,0.19%,256146655.00,United States,2021,123624,Basic Materials,Precious Metals
DC,Dakota Gold Corp. Common Stock,$2.24,0.06,2.752%,209803926.00,United States,2022,156766,Basic Materials,Metal Mining
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.62,0.03,1.887%,1445639291.00,Canada,,11489281,Basic Materials,Other Metals and Minerals
DRD,DRDGOLD Limited American Depositary Shares,$8.26,0.40,5.089%,714150274.00,South Africa,,331219,Basic Materials,Precious Metals
EGO,Eldorado Gold Corporation Ordinary Shares,$17.79,0.93,5.516%,3642703136.00,Canada,,1701617,Basic Materials,Precious Metals
EMX,EMX Royalty Corporation Common Shares (Canada),$1.73,0.09,5.488%,196402224.00,Canada,,324120,Basic Materials,Metal Mining
EQX,Equinox Gold Corp. Common Shares,$6.22,0.57,10.088%,2665301865.00,Canada,,5527076,Basic Materials,Precious Metals
ERO,Ero Copper Corp. Common Shares,$20.62,1.38,7.173%,2128656459.00,Canada,2021,311574,Basic Materials,Metal Mining
EU,enCore Energy Corp. Common Shares,$3.73,0.08,2.192%,687825536.00,United States,,1018149,Basic Materials,Other Metals and Minerals
EVA,Enviva Inc. Common Stock,$0.4051,-0.0012,-0.295%,30178547.00,United States,2015,602068,Basic Materials,Forest Products
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),$3.48,0.35,11.182%,856146339.00,Canada,,6652770,Basic Materials,Precious Metals
FBIN,Fortune Brands Innovations Inc. Common Stock,$81.13,1.75,2.205%,10068856078.00,United States,,705938,Basic Materials,Forest Products
FCX,Freeport-McMoRan Inc. Common Stock,$41.81,0.51,1.235%,60074962572.00,United States,,11414189,Basic Materials,Metal Mining
