Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAGR,African Agriculture Holdings Inc. Common Stock,$0.133,-0.0036,-2.635%,7696288.00,United States,2021,158348,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,$0.0087,0.00,0.00%,503441.00,United States,2021,33,Consumer Staples,Farming/Seeds/Milling
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.30,-0.03,-1.288%,36233816553.00,Brazil,2013,45256503,Consumer Staples,Beverages (Production/Distribution)
ABVE,Above Food Ingredients Inc. Common Stock,$0.633,-0.0465,-6.843%,17600316.00,Canada,,68228,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,$0.0222,-0.0001,-0.448%,617262.00,Canada,,6252,Consumer Staples,Packaged Foods
ACI,Albertsons Companies Inc. Class A Common Stock,$19.00,0.47,2.536%,11003540205.00,United States,2020,5320577,Consumer Staples,Food Chains
ADM,Archer-Daniels-Midland Company Common Stock,$59.62,0.62,1.051%,28506827709.00,United States,,2145089,Consumer Staples,Packaged Foods
AFRI,Forafric Global PLC Ordinary Shares,$11.12,-0.01,-0.09%,298896726.00,Gibraltar,,8907,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,$1.35,-0.04,-2.878%,36286923.00,Gibraltar,,800,Consumer Staples,Packaged Foods
AGFY,Agrify Corporation Common Stock,$0.247,-0.0052,-2.062%,3514920.00,United States,2021,51158,Consumer Staples,Farming/Seeds/Milling
AGRO,Adecoagro S.A. Common Shares,$11.38,0.07,0.619%,1185054172.00,Luxembourg,2011,595213,Consumer Staples,Farming/Seeds/Milling
AQB,AquaBounty Technologies Inc. Common Stock,$0.965,-0.0125,-1.279%,3730476.00,United States,,6419,Consumer Staples,Meat/Poultry/Fish
ARKO,ARKO Corp. Common Stock,$6.05,0.23,3.952%,700416474.00,United States,,182793,Consumer Staples,Food Chains
ARKOW,ARKO Corp. Warrant,$0.3398,-0.01,-2.859%,39339094.00,United States,,402,Consumer Staples,Food Chains
ARLO,Arlo Technologies Inc. Common Stock,$11.60,0.36,3.203%,1159262762.00,United States,2018,534173,Consumer Staples,Consumer Electronics/Appliances
ASAI,Sendas Distribuidora S A ADS,$8.06,0.00,0.00%,2179155118.00,,2021,311610,Consumer Staples,Food Chains
AVO,Mission Produce Inc. Common Stock,$13.25,0.02,0.151%,939565583.00,United States,2020,662000,Consumer Staples,Farming/Seeds/Milling
BG,Bunge Limited Common Shares,$96.43,0.53,0.553%,13659450674.00,United States,,680240,Consumer Staples,Packaged Foods
BGS,B&G Foods Inc. Common Stock,$8.71,0.34,4.062%,689517447.00,United States,,746978,Consumer Staples,Packaged Foods
BHIL,Benson Hill Inc. Common Stock,$7.21,0.12,1.693%,44122244.00,United States,,12217,Consumer Staples,Packaged Foods
BOF,BranchOut Food Inc. Common Stock,$2.20,0.17,8.374%,14943960.00,United States,2023,1546380,Consumer Staples,Packaged Foods
BRBR,BellRing Brands Inc. Common Stock ,$58.68,0.67,1.155%,7583947377.00,United States,2022,719333,Consumer Staples,Packaged Foods
BRCC,BRC Inc. Class A Common Stock,$3.25,-0.15,-4.412%,690702646.00,United States,2022,2643435,Consumer Staples,Beverages (Production/Distribution)
BRFH,Barfresh Food Group Inc. Common Stock,$3.25,-0.064,-1.931%,47925059.00,United States,,51197,Consumer Staples,Packaged Foods
BRFS,BRF S.A.,$4.37,0.06,1.392%,7335727013.00,Brazil,,1831206,Consumer Staples,Meat/Poultry/Fish
BRID,Bridgford Foods Corporation Common Stock,$8.87,0.19,2.189%,80511500.00,United States,,4115,Consumer Staples,Specialty Foods
BRLS,Borealis Foods Inc. Class A Common Shares,$7.00,-0.05,-0.709%,149651964.00,Kazakhstan,2021,4578,Consumer Staples,Packaged Foods
BRLSW,Borealis Foods Inc. Warrant,$0.0668,0.0058,9.508%,1428107.00,Kazakhstan,2021,5060,Consumer Staples,Packaged Foods
BTTR,Better Choice Company Inc. Common Stock,$3.04,0.09,3.051%,5032200.00,,2021,57967,Consumer Staples,Beverages (Production/Distribution)
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$64.85,0.50,0.777%,112657242506.00,Belgium,,1061597,Consumer Staples,Beverages (Production/Distribution)
BYND,Beyond Meat Inc. Common Stock,$6.30,0.12,1.942%,409741838.00,United States,2019,1422678,Consumer Staples,Packaged Foods
CAG,ConAgra Brands Inc. Common Stock,$31.75,0.28,0.89%,15183127813.00,United States,,3826710,Consumer Staples,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,$69.35,0.31,0.449%,3400838422.00,United States,1996,351975,Consumer Staples,Farming/Seeds/Milling
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$80.63,1.11,1.396%,37138256776.00,United Kingdom,,1818406,Consumer Staples,Beverages (Production/Distribution)
CCU,Compania Cervecerias Unidas S.A. Common Stock,$10.29,0.13,1.28%,1901092276.00,Chile,,3102286,Consumer Staples,Beverages (Production/Distribution)
CELH,Celsius Holdings Inc. Common Stock,$32.935,-0.145,-0.438%,7676082855.00,United States,,3584554,Consumer Staples,Beverages (Production/Distribution)
CHSN,Chanson International Holding Class A Ordinary Shares,$1.80,0.12,7.143%,22365574.00,China,2023,78192,Consumer Staples,Packaged Foods
CJJD,China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares,$1.51,-0.14,-8.485%,10047656.00,China,,1753,Consumer Staples,Retail-Drug Stores and Proprietary Stores
COCO,The Vita Coco Company Inc. Common Stock,$26.85,0.58,2.208%,1524604513.00,United States,2021,413424,Consumer Staples,Beverages (Production/Distribution)
COKE,Coca-Cola Consolidated Inc. Common Stock,$1271.09,-6.79,-0.531%,11135611470.00,United States,1972,48856,Consumer Staples,Beverages (Production/Distribution)
COOT,Australian Oilseeds Holdings Limited Ordinary Shares,$0.8796,0.0584,7.112%,20427920.00,Australia,,7414,Consumer Staples,Packaged Foods
COOTW,Australian Oilseeds Holdings Limited Warrant,$0.0158,0.00,0.00%,366941.00,Australia,,50,Consumer Staples,Packaged Foods
