Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACDC,ProFrac Holding Corp. Class A Common Stock,$6.12,0.28,4.795%,980097204.00,United States,2022,1360151,Energy,Oilfield Services/Equipment
AE,Adams Resources & Energy Inc. Common Stock,$24.55,0.20,0.821%,63037035.00,United States,1980,2298,Energy,Oil Refining/Marketing
AMPY,Amplify Energy Corp. Common Stock,$6.28,0.01,0.159%,249583528.00,United States,2016,396663,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,$201.65,8.77,4.547%,2624678417.00,United States,2018,364096,Energy,Coal Mining
APA,APA Corporation Common Stock,$23.70,0.09,0.381%,8766744779.00,United States,,6513148,Energy,Oil & Gas Production
AR,Antero Resources Corporation Common Stock,$26.57,0.08,0.302%,8263455990.00,United States,2013,4659875,Energy,Oil & Gas Production
ARCH,Arch Resources Inc. Class A Common Stock,$124.59,1.76,1.433%,2253144989.00,United States,2016,475271,Energy,Coal Mining
AREC,American Resources Corporation Class A Common Stock,$0.492,0.032,6.957%,38091816.00,United States,,149661,Energy,Coal Mining
ARIS,Aris Water Solutions Inc. Class A Common Stock,$15.86,0.48,3.121%,921637986.00,United States,2021,167612,Energy,Oilfield Services/Equipment
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$23.25,0.16,0.693%,2977441058.00,United States,1999,149125,Energy,Coal Mining
BANL,CBL International Limited Ordinary Shares,$0.645,0.0056,0.876%,17737500.00,Malaysia,2023,294118,Energy,Oil Refining/Marketing
BATL,Battalion Oil Corporation Common Stock,$2.96,0.41,16.078%,48711426.00,United States,,49593,Energy,Oil & Gas Production
BE,Bloom Energy Corporation Class A Common Stock,$10.38,-0.26,-2.444%,2362938191.00,United States,2018,3995981,Energy,Industrial Machinery/Components
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$53.68,0.87,1.647%,136086131185.00,Australia,,3637763,Energy,Coal Mining
BLDP,Ballard Power Systems Inc. Common Shares,$1.72,-0.03,-1.714%,514982412.00,Canada,,2690246,Energy,Industrial Machinery/Components
BORR,Borr Drilling Limited Common Shares,$5.28,0.05,0.956%,1342492800.00,,2019,1102141,Energy,Oil & Gas Production
BP,BP p.l.c. Common Stock,$31.58,0.29,0.927%,86258188619.00,United Kingdom,,8157065,Energy,Integrated oil Companies
BPT,BP Prudhoe Bay Royalty Trust Common Stock,$1.53,0.04,2.685%,32742000.00,United States,,54929,Energy,Integrated oil Companies
