Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AIOT,PowerFleet Inc. Common Stock,$4.63,0.13,2.889%,498919586.00,United States,,568978,Telecommunications,Telecommunications Equipment
ALLT,Allot Ltd. Ordinary Shares,$3.01,0.01,0.333%,115514586.00,Israel,2006,56872,Telecommunications,Computer Communications Equipment
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,$0.3901,-0.0002,-0.051%,10554354.00,United States,,13917,Telecommunications,Telecommunications Equipment
AMCX,AMC Networks Inc. Class A Common Stock,$8.25,0.27,3.383%,363809498.00,United States,,954597,Telecommunications,Cable & Other Pay Television Services
AMPG,Amplitech Group Inc. Common Stock,$0.869,0.069,8.625%,8446344.00,United States,,153899,Telecommunications,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,$0.0201,-0.0154,-43.38%,195364.00,United States,,8300,Telecommunications,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,$16.62,0.46,2.847%,51895950000.00,Mexico,2023,1846834,Telecommunications,Telecommunications Equipment
ANET,Arista Networks Inc. Common Stock,$355.36,12.43,3.625%,111637365660.00,United States,2014,1764139,Telecommunications,Computer Communications Equipment
ASNS,Actelis Networks Inc. Common Stock,$1.69,0.07,4.321%,10167591.00,United States,2022,642496,Telecommunications,Telecommunications Equipment
ATEN,A10 Networks Inc. Common Stock,$13.25,0.22,1.688%,978725944.00,United States,2014,758912,Telecommunications,Computer Communications Equipment
ATEX,Anterix Inc. Common Stock,$38.71,1.24,3.309%,719804785.00,United States,2015,500676,Telecommunications,Telecommunications Equipment
ATNI,ATN International Inc. Common Stock,$28.87,1.15,4.149%,436347416.00,United States,,63474,Telecommunications,Telecommunications Equipment
ATUS,Altice USA Inc. Class A Common Stock,$2.07,0.13,6.701%,953407597.00,United States,2017,2602027,Telecommunications,Cable & Other Pay Television Services
BCE,BCE Inc. Common Stock,$35.26,0.07,0.199%,32167102212.00,Canada,,2291189,Telecommunications,Telecommunications Equipment
BOSC,B.O.S. Better Online Solutions Common Stock,$2.81,0.00,0.00%,16151931.00,Israel,,327,Telecommunications,Computer Communications Equipment
BWEN,Broadwind Inc. Common Stock,$2.13,-0.03,-1.389%,46829241.00,United States,,92759,Telecommunications,Metal Fabrications
CABO,Cable One Inc. Common Stock,$324.90,10.13,3.218%,1825640717.00,United States,2015,88865,Telecommunications,Cable & Other Pay Television Services
CCZ,Comcast Holdings ZONES,$55.82,0.00,0.00%,216163040596.00,United States,,2,Telecommunications,Cable & Other Pay Television Services
CHT,Chunghwa Telecom Co. Ltd.,$39.01,0.16,0.412%,30261798992.00,Taiwan,,55856,Telecommunications,Telecommunications Equipment
CHTR,Charter Communications Inc. Class A Common Stock New,$339.03,11.61,3.546%,48393544629.00,United States,,1068380,Telecommunications,Cable & Other Pay Television Services
CMCSA,Comcast Corporation Class A Common Stock,$39.31,0.63,1.629%,152228038800.00,United States,,17054420,Telecommunications,Cable & Other Pay Television Services
CNSL,Consolidated Communications Holdings Inc. Common Stock,$4.60,0.02,0.437%,544994619.00,United States,2005,268627,Telecommunications,Telecommunications Equipment
CSCO,Cisco Systems Inc. Common Stock (DE),$49.61,0.50,1.018%,197980353130.00,United States,1990,13228411,Telecommunications,Computer Communications Equipment
CTBB,Qwest Corporation 6.5% Notes due 2056,$16.40,0.25,1.548%,123211019.00,United States,2016,67661,Telecommunications,Telecommunications Equipment
CTDD,Qwest Corporation 6.75% Notes due 2057,$17.15,0.21,1.24%,128845669.00,United States,2017,160276,Telecommunications,Telecommunications Equipment
CXDO,Crexendo Inc. Common Stock,$4.70,0.25,5.618%,125560063.00,United States,,87399,Telecommunications,Telecommunications Equipment
