Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Holdings Inc. Common Stock,$5.25,0.07,1.351%,415968247.00,United States,1994,299980,Utilities,Telecommunications Equipment
AEE,Ameren Corporation Common Stock,$83.50,-0.24,-0.287%,22279196538.00,United States,,1404512,Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$102.99,-0.06,-0.058%,54803038285.00,United States,,2098087,Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,$18.12,0.26,1.456%,12881948570.00,United States,,9276015,Utilities,Electric Utilities: Central
AGR,Avangrid Inc. Common Stock,$35.74,-0.01,-0.028%,13828199998.00,United States,2015,282385,Utilities,Electric Utilities: Central
AKTS,Akoustis Technologies Inc. Common Stock,$0.0611,-0.0006,-0.972%,6670287.00,United States,,16211837,Utilities,Telecommunications Equipment
ALCE,Alternus Clean Energy Inc. Class A Common Stock,$0.191,0.0011,0.579%,16583893.00,United States,2022,32496,Utilities,Power Generation
ALE,Allete Inc.,$63.75,0.00,0.00%,3681786454.00,United States,,281528,Utilities,Power Generation
AM,Antero Midstream Corporation Common Stock,$14.59,0.30,2.099%,7021597990.00,United States,2017,1577985,Utilities,Natural Gas Distribution
AMPS,Altus Power Inc. Class A Common Stock,$3.33,0.02,0.604%,535420177.00,United States,2021,400916,Utilities,Electric Utilities: Central
AQN,Algonquin Power & Utilities Corp. Common Shares,$5.39,0.04,0.748%,4134076100.00,United States,2016,7680211,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,$25.98,0.00,0.00%,19926400200.00,United States,2019,51105,Utilities,Electric Utilities: Central
AROC,Archrock Inc. Common Stock,$19.15,0.26,1.376%,3235184359.00,United States,,1356976,Utilities,Natural Gas Distribution
ARTNA,Artesian Resources Corporation Class A Common Stock,$37.49,-0.27,-0.715%,385980544.00,United States,,13336,Utilities,Water Supply
ATO,Atmos Energy Corporation Common Stock,$134.77,-0.01,-0.007%,20920728095.00,United States,,795645,Utilities,Oil/Gas Transmission
AUDC,AudioCodes Ltd. Common Stock,$9.72,0.17,1.78%,296525639.00,Israel,1999,27165,Utilities,Telecommunications Equipment
AVA,Avista Corporation Common Stock,$37.63,-0.17,-0.45%,2961622526.00,United States,,544940,Utilities,Power Generation
AWK,American Water Works Company Inc. Common Stock,$147.13,0.09,0.061%,28670198192.00,United States,2008,706811,Utilities,Water Supply
AWR,American States Water Company Common Stock,$81.65,0.24,0.295%,3058380298.00,United States,,158549,Utilities,Water Supply
AWX,Avalon Holdings Corporation Common Stock,$2.44,0.00,0.00%,9514612.00,United States,1998,1832,Utilities,Environmental Services
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$21.90,0.01,0.046%,2541607259.00,United Kingdom,2014,569989,Utilities,Electric Utilities: Central
BEP,Brookfield Renewable Partners L.P. ,$26.24,1.00,3.962%,12631881106.00,Canada,,1183556,Utilities,Electric Utilities: Central
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,$30.07,1.00,3.44%,11249564830.00,United States,2020,740642,Utilities,Electric Utilities: Central
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,$17.51,-0.06,-0.341%,5028247593.00,Canada,,8194,Utilities,Electric Utilities: Central
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,$18.53,0.06,0.325%,5321155220.00,Canada,2021,12725,Utilities,Electric Utilities: Central
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,$25.66,-0.09,-0.35%,7368636964.00,Canada,2024,4870,Utilities,Electric Utilities: Central
