Ticker,Stockholders Equity
AADI,105195000.0
ABCL,1152318000.0
ABEO,14826000.0
ABIO,37020000.0
ABOS,266973000.0
ABSI,176176000.0
ABUS,106018000.0
ABVC,8388050.0
ACAD,431755000.0
ACB,559773000.0
ACET,170175000.0
ACHC,2781974000.0
ACHL,142369000.0
ACHV,-1448000.0
ACIU,160643000.0
ACLX,485380000.0
ACON,-727995.0
ACONW,-727995.0
ACRS,157179000.0
ACRV,121195000.0
ACST,61743000.0
ACTU,-99626513.0
ACXP,4666685.0
ADAG,70559497.0
ADAP,39513000.0
ADGM,
ADIL,3276494.0
ADMA,135206000.0
ADPT,308399000.0
ADTX,16056377.0
ADUS,706694000.0
ADVM,83469000.0
ADXN,1145465.0
AEMD,5766332.0
AFMD,57807000.0
AGEN,-160331000.0
AGIO,811019000.0
AHCO,1458454000.0
AIMD,24447581.0
AIRS,83992000.0
AKAN,-3828892.0
AKBA,-30584000.0
AKRO,535306000.0
AKTX,
ALBT,7368776.0
ALDX,119795030.0
ALEC,134158000.0
ALGN,3630489000.0
ALGS,92080000.0
ALHC,156946000.0
ALIM,46170000.0
ALKS,1202686000.0
ALLK,168817000.0
ALLO,512233000.0
ALLR,-2751000.0
ALMS,-339260000.0
ALNY,-220644000.0
ALRN,6887000.0
ALT,194099000.0
ALVO,-932493000.0
ALVOW,-932493000.0
ALVR,145781000.0
ALXO,189712000.0
ALZN,-2594185.0
AMED,1066514000.0
AMGN,6232000000.0
AMIX,7628000.0
AMLX,433432000.0
AMPH,639421000.0
AMRN,552097000.0
AMRX,19781000.0
ANAB,88103000.0
ANEB,10601350.0
ANGO,205586000.0
ANIK,212265000.0
ANIP,457599000.0
ANIX,24337000.0
ANL,79403000.0
ANNX,250556000.0
ANTX,124701000.0
APGE,503354000.0
APLM,41234000.0
APLMW,41234000.0
APLS,194521000.0
APLT,-17146000.0
APM,24846236.0
APRE,16953506.0
APTO,-2901000.0
APVO,12221000.0
APYX,26701000.0
AQST,-106487000.0
ARAY,53659000.0
ARCT,278513000.0
ARDX,166816000.0
ARGX,4097507000.0
ARQT,88667000.0
ARTL,11752000.0
ARTV,-162015000.0
ARVN,660000000.0
ARWR,271343000.0
ASMB,41097000.0
ASND,-145697000.0
ASRT,138003000.0
ATAI,242962000.0
ATEC,78116000.0
ATHA,130188000.0
ATHE,22812909.0
ATNF,-127733.0
ATNFW,-127733.0
ATOS,
ATPC,4369084.0
ATRA,-99231000.0
ATRC,466168000.0
ATXI,1582000.0
ATXS,243116000.0
ATYR,90658000.0
AUPH,377954000.0
AURA,225848000.0
AUTL,111474000.0
AVAH,-127435000.0
AVBP,-153193000.0
AVDL,87739000.0
AVGR,-6202000.0
AVIR,555192000.0
AVTE,109456000.0
AVTX,7304000.0
AVXL,141852000.0
AWH,
AXGN,95665000.0
AXNX,637564000.0
AXSM,190977000.0
AYTU,39357000.0
AZN,39143000000.0
BACK,-752647.0
BBIO,-1354257000.0
BBLG,2906361.0
BBLGW,2906361.0
BCAB,70672000.0
BCDA,-1603000.0
BCLI,
BCRX,-455528000.0
BCTX,-3777181.0
BCTXW,-3777181.0
BCYC,370932000.0
BDRX,4678000.0
BDSX,4580000.0
BDTX,116736000.0
BEAM,981329000.0
BEAT,15937000.0
BEATW,15937000.0
BFRG,2592236.0
BFRGW,2592236.0
BFRI,4793000.0
BFRIW,4793000.0
BGLC,9657852.0
BGM,42792133.0
BGNE,3537327000.0
BGXX,10964945.0
BIAF,4855255.0
BIAFW,4855255.0
BIIB,14799400000.0
BIOR,-101421000.0
BIVI,15340286.0
BJDX,2894848.0
BLFS,337663000.0
BLRX,13223000.0
BLTE,90431000.0
BLUE,196343000.0
BMEA,169237000.0
BMRA,11724000.0
BMRN,4951549000.0
BNOX,33147859.0
BNR,768410000.0
BNTC,202000.0
BNTX,20245900000.0
BOLD,-127082000.0
BOLT,112741000.0
BON,35484652.0
BPMC,130609000.0
BPTH,441000.0
BRNS,186784000.0
BRTX,10004375.0
BTAI,-56508000.0
BTMD,-29397000.0
BTSG,584740000.0
BTSGU,584740000.0
BVS,173591000.0
BWAY,41581000.0
BYSI,-26805000.0
CABA,236198000.0
CADL,12745000.0
CALC,8157000.0
CALT,334806000.0
CAPR,22601467.0
CARA,57085000.0
CARM,26532000.0
CASI,24165000.0
CCCC,246114000.0
CDIO,2958124.0
CDIOW,2958124.0
CDMO,60889000.0
CDNA,261328000.0
CDT,-457000.0
CDTX,-8210000.0
CDXC,28456000.0
CELC,139769322.0
CELU,40960000.0
CERO,-34870780.0
CEROW,-34870780.0
CGC,500368000.0
CGEM,453703000.0
CGEN,65559000.0
CGTX,24474000.0
CHEK,23687000.0
CHRS,-193425000.0
CING,
CINGW,
CKPT,-13047000.0
CLDX,429171000.0
CLGN,28340000.0
CLLS,84695000.0
CLNN,13390000.0
CLOV,286394000.0
CLPT,21173000.0
CLRB,-1356047.0
CLSD,-15912000.0
CMAX,61444000.0
CMAXW,61444000.0
CMMB,16997000.0
CMND,711140.677537
CMPS,225744000.0
CMPX,148538000.0
CMRX,193029000.0
CNSP,-4432115.0
CNTA,236244000.0
CNTB,101043000.0
CNTX,11871020.0
COCH,-36195000.0
COCHW,-36195000.0
COCP,26384000.0
CODX,86013615.0
COEP,813964.0
COEPW,813964.0
COGT,257802000.0
COLL,195431000.0
COO,7550800000.0
CORT,506705000.0
COSM,36043028.0
COYA,35635609.0
CPIX,29603441.0
CPRX,387881000.0
CRBP,-6904722.0
CRBU,368401000.0
CRDF,69739000.0
CRDL,52201588.0
CRIS,19670000.0
CRMD,70142429.0
CRNX,539106000.0
CRON,1099571000.0
CRSP,1882803000.0
CRVO,7376774.0
CRVS,38684000.0
CSBR,-1903000.0
CSCI,20997362.430273
CSTL,391269000.0
CTCX,24749010.0
CTMX,-47447000.0
CTNM,-67936000.0
CTSO,23275163.0
CTXR,90831108.0
CUE,37085000.0
CUTR,-171830000.0
CVAC,516941000.0
CVKD,7692375.0
CVRX,75947000.0
CYCC,607000.0
CYCCP,607000.0
CYCN,11288000.0
CYRX,489023000.0
CYTH,4757007.0
CYTHW,4757007.0
CYTK,-386323000.0
CYTO,6458717.0
DARE,-5047640.0
DAWN,346540000.0
DBVT,140186000.0
DCGO,300794867.0
DCTH,15777000.0
DERM,20350000.0
DHAI,-32546000.0
DHAIW,-32546000.0
DMAC,51057000.0
DNLI,1030954000.0
DNTH,168870000.0
DOMH,73767000.0
DRIO,58144000.0
DRMA,6355018.0
DRRX,14783000.0
DRTS,84475000.0
DRTSW,84475000.0
DRUG,6598216.0
DSGN,277687000.0
DTIL,18861000.0
DVAX,622072000.0
DXCM,2068600000.0
DXR,34010384.0
DYAI,5878585.0
DYN,91292000.0
ECOR,7442000.0
EDAP,56923000.0
EDIT,349097000.0
EDSA,7048800.0
EGRX,233560000.0
ELAB,3827076.0
ELDN,7208000.0
ELEV,54809000.0
ELTX,11373000.0
ELUT,-38600000.0
ELVN,245906000.0
ELYM,107599000.0
EMBC,-821700000.0
ENGN,72486000.0
ENGNW,72486000.0
ENLV,30084000.0
ENSC,-322858.0
ENSG,1491865000.0
ENTA,216735000.0
ENTO,3602929.0
ENTX,10386000.0
ENVB,1956336.0
EOLS,-20689000.0
EPIX,145627060.0
EPRX,2216207.0
EQ,22573000.0
ERAS,316686000.0
ERNA,2233000.0
ESLA,-1039843.0
ESLAW,-1039843.0
ESPR,-454994000.0
ESTA,18395000.0
ETNB,536306000.0
ETON,15477000.0
EUDA,-7498551.0
EUDAW,-7498551.0
EVAX,-4739000.0
EVO,1119908000.0
EVOK,-2579537.0
EWTX,318830000.0
EXAI,355726000.0
EXAS,3145305000.0
EXEL,2263912000.0
EYE,829418000.0
EYEN,8999094.0
FATE,368417000.0
FBIO,22544000.0
FBIOP,22544000.0
FBLG,1253000.0
FBRX,35314000.0
FDMT,307829000.0
FEMY,18352589.0
FENC,-11622000.0
FGEN,-204166000.0
FHTX,-77190000.0
FLGC,6404000.0
FLGT,1136101000.0
FOLD,160174000.0
FONR,157906433.0
FRES,-13676000.0
FTLF,27036000.0
FTRE,1738800000.0
FULC,235193000.0
GALT,-60241000.0
GANX,12578224.0
GBIO,203128000.0
GCTK,3197000.0
GDTC,11245111.0
GEHC,7133000000.0
GENE,11162576.0
GERN,247949000.0
GH,158684000.0
GHRS,218968000.0
GHSI,8146043.0
GILD,22833000000.0
GLMD,13879000.0
GLPG,2795566000.0
GLSI,6700409.0
GLTO,32331000.0
GLUE,179250000.0
