Name,Ticker,Country,Industry,Sector,Business Summary,Beta,Trailing PE,Forward PE,Price to Book,Market Cap,Shares Outstanding,Book Value,Trailing EPS,Forward EPS,PEG Ratio,Enterprise to Revenue,Enterprise to EBITDA,Total Revenue,Debt to Equity,Revenue per Share,Return on Assets,Return on Equity
"Aadi Bioscience, Inc.",AADI,United States,Biotechnology,Healthcare,"Aadi Bioscience, Inc., a biopharmaceutical company, engages in developing and commercializing precision therapies for genetically defined cancers with alterations in mTOR pathway genes. Its lead drug product candidate comprises FYARRO, a form of sirolimus protein-bound particles for injectable suspension for the treatment in adult patients with advanced unresectable or metastatic malignant PEComa. The company is also involved in evaluating FYARRO in cancers, including indications targeting specific genomic alterations that activate the mTOR pathway. Aadi Bioscience, Inc. was incorporated in 2007 and is headquartered in Pacific Palisades, California.",0.31,N/A,-1.1437908,0.5467042,43075900,24614800,3.201,-2.68,-1.53,N/A,-1.446,0.489,23817000,1.34,0.883,-0.34932,-0.62264
AbCellera Biologics Inc.,ABCL,Canada,Biotechnology,Healthcare,"AbCellera Biologics Inc. builds an engine for antibody drug discovery and development. Its engine discovers antibodies from natural immune responses, which are pre-enriched for antibodies. The company's preclinical products are ABCL635 for metabolic and endocrine conditions; and ABCL575 for atopic dermatitis. It has a research collaboration and license agreement with Eli Lilly and Company; a research collaboration with Confo Therapeutics for the discovery of therapeutic antibody candidates targeting two undisclosed GPCR targets; and strategic collaboration with Biogen Inc. to discover therapeutic antibodies for neurological conditions, as well as collaboration with Viking Global Investors and ArrowMark Partners. The company was incorporated in 2012 and is headquartered in Vancouver, Canada.",0.389,N/A,-3.6351352,0.71352786,792651520,294665984,3.77,-0.55,-0.74,-0.43,5.88,-0.905,33054000,6.486,0.113,-0.11412,-0.13297
Abeona Therapeutics Inc.,ABEO,United States,Biotechnology,Healthcare,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening diseases. Its lead clinical program is EB-101, an autologous, engineered cell therapy that is in Phase III clinical trial for recessive dystrophic epidermolysis bullosa. The company develops ABO-503 for the treatment of X-linked retinoschisis; ABO-504 for the treatment of stargardt disease; and ABO-505 for the treatment of autosomal dominant optic atrophy. In addition, it is developing AAV-based gene therapy through its AIM vector platform programs. The company was formerly known as PlasmaTech Biopharmaceuticals, Inc. and changed its name to Abeona Therapeutics Inc. in June 2015. Abeona Therapeutics Inc. is headquartered in Cleveland, Ohio.",1.58,N/A,-3.8783782,3.2650738,248624640,43314400,1.758,-1.84,-1.48,N/A,N/A,-2.723,N/A,31.628,N/A,-0.37814,-1.2738
"ARCA biopharma, Inc.",ABIO,United States,Biotechnology,Healthcare,"ARCA biopharma, Inc., a clinical stage biopharmaceutical company, engages in the development and commercialization of targeted therapies for cardiovascular diseases. Its lead product candidate is Gencaro, a pharmacogenetically-targeted beta-adrenergic receptor antagonist that has completed Phase IIb trial for the treatment of atrial fibrillation in patients with heart failure. It is developing Recombinant Nematode Anticoagulant Protein c2, a protein therapeutic that is in Phase IIb clinical trial for the treatment for COVID-19. The company has a collaboration agreement with LabCorp to develop genetic test for GENETIC-AF clinical trial. ARCA biopharma, Inc. is headquartered in Westminster, Colorado.",0.895,N/A,-0.43295452,1.6971047,60349636,14507100,2.245,-0.49,-8.8,N/A,N/A,-2.563,N/A,0.074,N/A,-0.14351,-0.20053
"Acumen Pharmaceuticals, Inc.",ABOS,United States,Biotechnology,Healthcare,"Acumen Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, develops targeted therapies for the treatment of Alzheimer's disease. The company focuses on advancing a targeted immunotherapy drug candidate sabirnetug (ACU193), a recombinant humanized immunoglobulin gamma 2 that completed Phase I clinical trial to target soluble amyloid-beta oligomers. The company has a license agreement with Lonza Sales AG to manufacture and commercialize sabirnetug; and a collaboration and license agreement with Halozyme, Inc. for the development of a subcutaneous formulation of sabirnetug. Acumen Pharmaceuticals, Inc. was incorporated in 1996 and is headquartered in Charlottesville, Virginia.",0.111,N/A,-1.9215688,0.72413796,176634608,60079800,4.06,-1.11,-1.53,-1.33,N/A,0.706,N/A,12.185,N/A,-0.20555,-0.31425
Absci Corporation,ABSI,United States,Biotechnology,Healthcare,"Absci Corporation operates as a data-first generative artificial intelligence (AI) drug creation company in the United States. The company combines AI with scalable wet lab technologies to create biologics for patients. Its integrated drug creation platform is designed to improve upon traditional biologic drug discovery by using AI to simultaneously optimize multiple drug characteristics that may be important to development and therapeutic benefit. It has a collaboration with Memorial Sloan Kettering Cancer Center to discover novel therapeutics using generative AI. The company was founded in 2011 and is headquartered in Vancouver, Washington.",2.222,N/A,-6.3239436,2.3002048,509866400,113556000,1.952,-0.93,-0.71,-0.22,116.294,-4.501,3250000,6.019,0.033,-0.23976,-0.42237
Arbutus Biopharma Corporation,ABUS,United States,Biotechnology,Healthcare,"Arbutus Biopharma Corporation, a biopharmaceutical company, develops novel therapeutics for chronic Hepatitis B virus (HBV) infection in the United States. Its HBV product pipeline consists of imdusiran (AB-729), a proprietary subcutaneously-delivered RNAi therapeutic product candidate that suppresses all HBV antigens, including HBsAg expression. The company's research and development programs include AB-101, an oral PD-L1 inhibitor to reawaken patients' HBV-specific immune system; and small molecule antiviral medicines to treat coronaviruses, including COVID-19. It has licensing agreements with Gritstone Oncology, Inc; Alnylam Pharmaceuticals, Inc.; Qilu Pharmaceuticals Co, Ltd; Assembly Biosciences, Inc.; Acuitas Therapeutics, Inc.; and Antios Therapeutics, Inc. Arbutus Biopharma Corporation also has a clinical collaboration agreement with Barinthus Biotherapeutics plc to evaluate VTP-300. The company was formerly known as Tekmira Pharmaceuticals Corporation and changed its name to Arbutus Biopharma Corporation in July 2015. Arbutus Biopharma Corporation is headquartered in Warminster, Pennsylvania.",1.956,N/A,-11.057142,5.96302,730586304,188782000,0.649,-0.45,-0.35,N/A,59.244,-7.36,10061000,6.089,0.058,-0.30586,-0.59956
"ABVC Biopharma, Inc.",ABVC,United States,Biotechnology,Healthcare,"ABVC BioPharma, Inc., a clinical stage biopharmaceutical company, develops drugs and medical devices to fulfill unmet medical needs in the United States. The company is developing ABV-1501, which is in Phase II clinical trials a combination therapy for triple negative breast cancer; ABV-1504 has completed Phase II clinical trials for major depressive disorders; ABV-1505, which is in Phase II clinical trials for adult attention deficit hyperactivity disorder; ABV-1703, which is in Phase II clinical trials for the treatment of metastatic pancreatic cancer; ABV-1702, which is in Phase II clinical trials to treat myelodysplastic syndromes; and ABV-1601 that is in Phase I/II clinical trials for treating depression in cancer patients. It is also developing ABV-1701 Vitargus that is in Phase II clinical trials for the treatment of retinal detachment or vitreous hemorrhage; and ABV-1519, which is in Phase I/II clinical trials for the treatment of non-small cell lung cancer. ABVC BioPharma, Inc. has a co-development agreement with Rgene Corporation; and collaboration agreements with BioHopeKing Corporation and BioFirst Corporation. The company is based in Fremont, California. ABVC BioPharma, Inc. operates as a subsidiary of YuanGene Corporation.",0.85,N/A,-1.6136364,0.99439776,8882810,12421800,0.714,-1.66,-0.44,N/A,77.552,-1.243,136396,34.911,0.017,-0.44551,-3.20362
ACADIA Pharmaceuticals Inc.,ACAD,United States,Biotechnology,Healthcare,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization innovative medicines that address unmet medical needs in central nervous system (CNS) disorders and rare diseases in the United States. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; and DAYBUE, a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 for treatment of Rett Syndrome. It also develops Pimavanserin that is in Phase III ADVANCE-2 study to treat the negative symptoms of schizophrenia; ACP-101 whixh is in Phase III for the treatment of hyperphagia in Prader-Willi syndrome; ACP-204 which is in Phase II for the treatment of Alzheimer's disease psychosis; ACP-2591 that is in Phase I for Rett syndrome and Fragile X syndrome; preclinical antisense oligonucleotide programs; and other programs for neuropsychiatric symptoms. It has a license agreement with Neuren Pharmaceuticals Limited to develop and commercialize trofinetide for Rett syndrome and other indications; and a license and collaboration agreement with Stoke Therapeutics, Inc. to discover, develop and commercialize novel RNA-based medicines for the potential treatment of severe and rare genetic neurodevelopmental diseases of the CNS. The company was formerly known as Receptor Technologies, Inc. and changed its name ACADIA Pharmaceuticals Inc. in 1997. ACADIA Pharmaceuticals Inc. was incorporated in 1993 and is headquartered in San Diego, California.",0.38,84.68421,19.385542,5.165329,2668944896,165876000,3.115,0.19,0.83,-0.08,2.499,64.937,890534016,11.159,5.402,0.01832,0.066989996
Aurora Cannabis Inc.,ACB,Canada,Drug Manufacturers - Specialty & Generic,Healthcare,"Aurora Cannabis Inc., together with its subsidiaries, engages in the production, distribution, and sale of cannabis and cannabis-derivative products in Canada and internationally. It operates through two segments, Canadian Cannabis and Plant Propagation. The company offers medical and consumer cannabis products; supplies propagated vegetables and ornamental plants; and distributes and sells hemp-derived cannabidiol (CBD) products. The company also cultivates and sells dried cannabis, cannabis oils, capsules, edible cannabis, cannabis extracts, and soft gels, which are ingested in various ways, including smoking, vaporizing, and consumption in the form of oil, capsules, dried flowers, vapes, dried milled strains, edibles, concentrates, and strain specific cannabis oils and extracts; and provides patient counseling and outreach services. Its adult-use brand portfolio includes Aurora Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard, as well as CBD brands, Reliva and KG7; and medical cannabis brands include MedReleaf, CanniMed, Aurora, Whistler Medical Marijuana Co, Pedanios, Bidiol, and CraftPlant. The company was founded in 2013 and is headquartered in Edmonton, Canada.",2.716,N/A,-27,0.6305342,354772864,54660800,10.277,-0.46,-0.24,N/A,1.368,102.981,278984000,16.951,5.896,-0.01874,-0.06125
