Symbol,Company,지배주주지분(천원),매출액(직전4분기)(천원),지배주주순이익(직전4분기)(천원),총자본(천원),매출액(직전4분기)(천원),당기순이익(직전4분기)(천원)
A005930,삼성전자,"362,315,069,000","267,105,724,000","19,693,179,000","232,139,453,000","179,445,028,000","30,976,441,000"
A000660,SK하이닉스,"55,510,235,000","40,107,206,000","-4,612,768,000","56,486,083,000","33,598,341,000","-1,368,629,000"
A373220,LG에너지솔루션,"20,693,029,000","31,127,067,000","736,121,000","16,996,841,000","10,897,687,000","306,601,000"
A207940,삼성바이오로직스,"10,010,237,633","3,920,570,047","895,297,714","8,421,760,804","3,017,268,251","947,147,533"
A005380,현대차,"95,108,031,000","165,552,113,000","11,881,128,000","62,726,955,000","78,032,734,000","10,083,537,000"
A000270,기아,"47,278,248,000","102,330,611,000","9,465,372,000","32,090,324,000","60,079,687,000","9,293,699,000"
A068270,셀트리온,"16,865,980,249","2,315,847,935","392,825,646","16,935,628,095","1,976,094,597","452,308,525"
A105560,KB금융,"57,136,088,000","29,892,458,000","4,172,357,000","27,191,268,000","38,274,000","2,160,936,000"
A005490,POSCO홀딩스,"54,792,478,637","75,798,269,185","1,512,387,956","48,232,755,702","1,789,829,203","1,189,175,291"
A035420,NAVER,"23,432,991,120","9,916,256,455","1,467,834,264","11,570,637,548","5,696,019,324","1,376,913,708"
A055550,신한지주,"54,401,327,000","28,276,764,000","4,301,609,000","27,816,359,000","96,327,000","1,697,912,000"
A028260,삼성물산,"36,117,314,538","42,452,881,298","2,269,054,225","32,413,802,812","24,428,270,922","1,682,419,652"
A006400,삼성SDI,"18,897,081,254","22,484,349,206","1,843,058,151","14,101,834,655","19,632,439,240","1,308,947,357"
A051910,LG화학,"32,571,399,000","52,574,730,000","1,000,370,000","20,294,425,000","19,579,376,000","374,852,000"
A012330,현대모비스,"41,467,243,000","58,456,611,000","3,442,405,000","27,454,143,000","38,003,769,000","1,957,173,000"
A003670,포스코퓨처엠,"2,418,311,454","4,763,056,157","49,760,959","2,476,460,471","4,532,476,304","58,630,284"
A247540,에코프로비엠,"1,378,635,895","5,860,337,136","-96,758,238","1,213,035,155","2,109,027,608","-162,705,749"
A032830,삼성생명,"41,509,774,000","10,176,302,000","1,810,599,000","36,547,894,000","10,088,446,000","1,239,427,000"
A035720,카카오,"9,871,997,279","7,921,583,049","-961,026,856","7,307,811,157","2,530,223,702","117,464,797"
A086790,하나금융지주,"40,310,806,000","23,804,416,000","3,353,567,000","19,896,620,000","5,397,000","1,763,537,000"
A066570,LG전자,"20,491,825,000","84,907,842,000","716,396,000","11,262,549,000","29,423,480,000","1,108,520,000"
A000810,삼성화재,"16,257,749,304","16,712,791,970","1,907,634,210","16,030,724,642","16,489,606,443","1,860,075,647"
A138040,메리츠금융지주,"9,295,182,945","4,017,972,392","2,098,776,880","4,066,664,139","6,305,563","1,226,124,676"
A042700,한미반도체,"623,896,681","209,802,194","203,612,881","664,175,915","207,852,099","206,319,623"
A329180,HD현대중공업,"5,229,615,091","12,318,780,743","73,861,810","5,232,130,618","12,311,650,819","73,423,664"
A196170,알테오젠,"169,417,677","121,086,723","25,541,644","209,066,514","108,798,017","33,480,145"
A012450,한화에어로스페이스,"3,474,441,928","9,169,430,259","397,875,866","3,071,592,375","5,006,223,146","300,933,187"
A259960,크래프톤,"5,916,843,710","2,037,787,377","677,897,285","5,933,891,563","1,966,363,077","802,982,509"
A086520,에코프로,"1,648,095,524","6,216,381,341","-349,103,941","826,483,793","250,179,649","-106,858,400"
A034020,두산에너빌리티,"7,351,741,018","17,646,712,639","130,208,325","5,984,306,072","6,691,028,043","-84,287,304"
A011200,HMM,"22,309,911,000","8,649,273,000","1,156,040,000","22,266,437,000","8,471,294,000","1,188,906,000"
A003550,LG,"26,242,051,000","7,420,075,000","1,152,823,000","9,497,978,000","892,551,000","577,537,000"
A015760,한국전력,"36,702,413,000","89,918,182,000","685,416,000","19,256,338,000","87,697,352,000","2,275,607,000"
A009150,삼성전기,"8,027,277,381","9,511,974,266","494,658,936","5,964,422,778","7,081,909,006","354,072,923"
A009540,HD한국조선해양,"10,086,861,762","21,969,472,086","550,450,658","11,539,245,285","320,501,091","281,598,604"
A018260,삼성에스디에스,"8,723,838,706","13,123,189,403","701,831,647","6,049,025,609","5,263,830,862","430,097,500"
A402340,SK스퀘어,"15,605,173,000","3,151,003,000","-411,865,000","6,835,168,000","177,281,000","-339,611,000"
A033780,KT&G,"9,023,687,000","5,759,199,000","918,506,000","7,678,533,000","3,557,482,000","827,288,000"
A017670,SK텔레콤,"11,658,150,000","17,710,895,000","1,156,091,000","10,781,191,000","12,660,645,000","1,129,703,000"
A024110,기업은행,"31,830,881,000","18,740,749,000","2,730,337,000","29,589,034,000","17,155,096,000","2,507,943,000"
A267260,HD현대일렉트릭,"1,114,970,188","2,935,185,911","323,909,420","1,074,733,333","2,541,431,763","327,095,283"
A316140,우리금융지주,"32,223,787,000","21,181,917,000","2,416,611,000","24,914,073,000","63,521,000","1,135,918,000"
A028300,HLB,"589,031,087","34,236,935","-136,895,827","1,055,781,664","11,676,342","-48,808,299"
A034730,SK,"21,247,543,000","131,761,986,000","-741,952,000","16,146,488,000","3,732,834,000","-132,174,000"
A010130,고려아연,"9,390,248,842","9,552,585,701","494,242,829","8,768,956,562","7,289,830,158","580,437,623"
A096770,SK이노베이션,"22,818,947,574","77,000,746,259","314,784,622","18,588,153,516","2,411,070,808","1,057,349,389"
A323410,카카오뱅크,,,,"6,151,527,000","2,178,977,000","364,254,000"
A047050,포스코인터내셔널,"6,158,123,688","32,586,746,650","669,417,726","5,374,519,528","28,130,293,712","643,961,425"
A090430,아모레퍼시픽,"4,910,672,726","3,671,718,501","171,429,872","4,872,048,841","2,464,447,737","128,029,677"
A030200,KT,"16,751,635,000","26,587,171,000","1,088,777,000","14,999,167,000","18,447,271,000","967,503,000"
A010140,삼성중공업,"3,705,485,473","8,752,173,471","-149,750,092","3,630,062,658","8,654,299,666","-226,320,159"
A042660,한화오션,"4,358,727,711","8,252,103,946","331,329,839","4,085,449,248","8,239,548,416","277,417,517"
A086280,현대글로비스,"7,884,968,128","25,968,798,068","1,084,086,293","6,613,305,084","19,731,870,964","979,768,735"
A003490,대한항공,"9,648,063,895","16,811,207,733","1,202,251,438","9,745,073,822","15,201,741,273","906,583,300"
A010950,S-Oil,"9,029,496,000","35,957,548,000","849,734,000","9,019,189,000","35,481,735,000","846,984,000"
A000100,유한양행,"2,026,740,534","1,860,529,399","126,562,788","1,985,332,601","1,810,781,578","95,178,981"
A352820,하이브,"2,968,139,645","2,128,371,965","180,192,533","2,438,582,176","631,934,409","-133,566,084"
A005830,DB손해보험,"9,861,816,959","14,987,055,817","1,792,880,608","8,436,626,910","14,265,008,589","1,672,920,040"
A011070,LG이노텍,"4,848,085,216","20,563,005,886","620,385,378","3,779,536,009","20,217,140,773","338,608,755"
A326030,SK바이오팜,"304,291,076","408,081,901","-17,682,049","330,610,439","344,432,116","-8,509,068"
A010120,LS ELECTRIC,"1,692,858,503","4,293,335,622","233,858,803","1,595,306,269","3,089,427,482","227,971,638"
A034220,LG디스플레이,"7,938,259,000","22,172,738,000","-2,303,122,000","6,083,135,000","21,005,936,000","-1,189,392,000"
A267250,HD현대,"7,398,845,395","62,571,750,033","405,506,114","6,033,478,703","432,963,921","638,255,142"
A011790,SKC,"1,449,926,629","1,506,394,095","-221,290,445","1,801,483,117","15,104,261","-42,848,953"
A097950,CJ제일제당,"7,437,756,051","29,168,274,146","471,230,409","5,562,496,063","7,626,861,410","151,410,096"
A051900,LG생활건강,"5,476,715,052","6,849,817,207","157,916,639","4,438,188,593","3,528,141,021","100,282,290"
A022100,포스코DX,"463,959,472","1,519,431,703","91,941,225","457,089,465","1,486,279,089","89,684,898"
A251270,넷마블,"5,055,235,318","2,484,831,608","-218,380,452","4,769,375,390","798,008,255","205,272,845"
A079550,LIG넥스원,"1,070,090,058","2,525,308,564","175,825,813","1,070,090,058","2,519,099,693","175,825,813"
