symbol,company,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni
A005930,삼성전자,362315069000 ,267105724000 ,19693179000 ,232139453000 ,179445028000 ,30976441000 
A000660,SK하이닉스,55510235000 ,40107206000 ,-4612768000 ,56486083000 ,33598341000 ,-1368629000 
A373220,LG에너지솔루션,20693029000 ,31127067000 ,736121000 ,16996841000 ,10897687000 ,306601000 
A207940,삼성바이오로직스,10010237633 ,3920570047 ,895297714 ,8421760804 ,3017268251 ,947147533 
A005380,현대차,95108031000 ,165552113000 ,11881128000 ,62726955000 ,78032734000 ,10083537000 
A000270,기아,47278248000 ,102330611000 ,9465372000 ,32090324000 ,60079687000 ,9293699000 
A068270,셀트리온,16865980249 ,2315847935 ,392825646 ,16935628095 ,1976094597 ,452308525 
A105560,KB금융,57136088000 ,29892458000 ,4172357000 ,27191268000 ,38274000 ,2160936000 
A005490,POSCO홀딩스,54792478637 ,75798269185 ,1512387956 ,48232755702 ,1789829203 ,1189175291 
A035420,NAVER,23432991120 ,9916256455 ,1467834264 ,11570637548 ,5696019324 ,1376913708 
A055550,신한지주,54401327000 ,28276764000 ,4301609000 ,27816359000 ,96327000 ,1697912000 
A028260,삼성물산,36117314538 ,42452881298 ,2269054225 ,32413802812 ,24428270922 ,1682419652 
A006400,삼성SDI,18897081254 ,22484349206 ,1843058151 ,14101834655 ,19632439240 ,1308947357 
A051910,LG화학,32571399000 ,52574730000 ,1000370000 ,20294425000 ,19579376000 ,374852000 
A012330,현대모비스,41467243000 ,58456611000 ,3442405000 ,27454143000 ,38003769000 ,1957173000 
A003670,포스코퓨처엠,2418311454 ,4763056157 ,49760959 ,2476460471 ,4532476304 ,58630284 
A247540,에코프로비엠,1378635895 ,5860337136 ,-96758238 ,1213035155 ,2109027608 ,-162705749 
A032830,삼성생명,41509774000 ,10176302000 ,1810599000 ,36547894000 ,10088446000 ,1239427000 
A035720,카카오,9871997279 ,7921583049 ,-961026856 ,7307811157 ,2530223702 ,117464797 
A086790,하나금융지주,40310806000 ,23804416000 ,3353567000 ,19896620000 ,5397000 ,1763537000 
A066570,LG전자,20491825000 ,84907842000 ,716396000 ,11262549000 ,29423480000 ,1108520000 
A000810,삼성화재,16257749304 ,16712791970 ,1907634210 ,16030724642 ,16489606443 ,1860075647 
A138040,메리츠금융지주,9295182945 ,4017972392 ,2098776880 ,4066664139 ,6305563 ,1226124676 
A042700,한미반도체,623896681 ,209802194 ,203612881 ,664175915 ,207852099 ,206319623 
A329180,HD현대중공업,5229615091 ,12318780743 ,73861810 ,5232130618 ,12311650819 ,73423664 
A196170,알테오젠,169417677 ,121086723 ,25541644 ,209066514 ,108798017 ,33480145 
A012450,한화에어로스페이스,3474441928 ,9169430259 ,397875866 ,3071592375 ,5006223146 ,300933187 
A259960,크래프톤,5916843710 ,2037787377 ,677897285 ,5933891563 ,1966363077 ,802982509 
A086520,에코프로,1648095524 ,6216381341 ,-349103941 ,826483793 ,250179649 ,-106858400 
A034020,두산에너빌리티,7351741018 ,17646712639 ,130208325 ,5984306072 ,6691028043 ,-84287304 
A011200,HMM,22309911000 ,8649273000 ,1156040000 ,22266437000 ,8471294000 ,1188906000 
A003550,LG,26242051000 ,7420075000 ,1152823000 ,9497978000 ,892551000 ,577537000 
A015760,한국전력,36702413000 ,89918182000 ,685416000 ,19256338000 ,87697352000 ,2275607000 
A009150,삼성전기,8027277381 ,9511974266 ,494658936 ,5964422778 ,7081909006 ,354072923 
A009540,HD한국조선해양,10086861762 ,21969472086 ,550450658 ,11539245285 ,320501091 ,281598604 
A018260,삼성에스디에스,8723838706 ,13123189403 ,701831647 ,6049025609 ,5263830862 ,430097500 
A402340,SK스퀘어,15605173000 ,3151003000 ,-411865000 ,6835168000 ,177281000 ,-339611000 
A033780,KT&G,9023687000 ,5759199000 ,918506000 ,7678533000 ,3557482000 ,827288000 
A017670,SK텔레콤,11658150000 ,17710895000 ,1156091000 ,10781191000 ,12660645000 ,1129703000 
A024110,기업은행,31830881000 ,18740749000 ,2730337000 ,29589034000 ,17155096000 ,2507943000 
A267260,HD현대일렉트릭,1114970188 ,2935185911 ,323909420 ,1074733333 ,2541431763 ,327095283 
A316140,우리금융지주,32223787000 ,21181917000 ,2416611000 ,24914073000 ,63521000 ,1135918000 
A028300,HLB,589031087 ,34236935 ,-136895827 ,1055781664 ,11676342 ,-48808299 
A034730,SK,21247543000 ,131761986000 ,-741952000 ,16146488000 ,3732834000 ,-132174000 
A010130,고려아연,9390248842 ,9552585701 ,494242829 ,8768956562 ,7289830158 ,580437623 
A096770,SK이노베이션,22818947574 ,77000746259 ,314784622 ,18588153516 ,2411070808 ,1057349389 
A323410,카카오뱅크,0 ,0 ,0 ,6151527000 ,2178977000 ,364254000 
A047050,포스코인터내셔널,6158123688 ,32586746650 ,669417726 ,5374519528 ,28130293712 ,643961425 
A090430,아모레퍼시픽,4910672726 ,3671718501 ,171429872 ,4872048841 ,2464447737 ,128029677 
A030200,KT,16751635000 ,26587171000 ,1088777000 ,14999167000 ,18447271000 ,967503000 
A010140,삼성중공업,3705485473 ,8752173471 ,-149750092 ,3630062658 ,8654299666 ,-226320159 
A042660,한화오션,4358727711 ,8252103946 ,331329839 ,4085449248 ,8239548416 ,277417517 
A086280,현대글로비스,7884968128 ,25968798068 ,1084086293 ,6613305084 ,19731870964 ,979768735 
A003490,대한항공,9648063895 ,16811207733 ,1202251438 ,9745073822 ,15201741273 ,906583300 
A010950,S-Oil,9029496000 ,35957548000 ,849734000 ,9019189000 ,35481735000 ,846984000 
A000100,유한양행,2026740534 ,1860529399 ,126562788 ,1985332601 ,1810781578 ,95178981 
A352820,하이브,2968139645 ,2128371965 ,180192533 ,2438582176 ,631934409 ,-133566084 
A005830,DB손해보험,9861816959 ,14987055817 ,1792880608 ,8436626910 ,14265008589 ,1672920040 
A011070,LG이노텍,4848085216 ,20563005886 ,620385378 ,3779536009 ,20217140773 ,338608755 
A326030,SK바이오팜,304291076 ,408081901 ,-17682049 ,330610439 ,344432116 ,-8509068 
A010120,LS ELECTRIC,1692858503 ,4293335622 ,233858803 ,1595306269 ,3089427482 ,227971638 
A034220,LG디스플레이,7938259000 ,22172738000 ,-2303122000 ,6083135000 ,21005936000 ,-1189392000 
A267250,HD현대,7398845395 ,62571750033 ,405506114 ,6033478703 ,432963921 ,638255142 
A011790,SKC,1449926629 ,1506394095 ,-221290445 ,1801483117 ,15104261 ,-42848953 
A097950,CJ제일제당,7437756051 ,29168274146 ,471230409 ,5562496063 ,7626861410 ,151410096 
A051900,LG생활건강,5476715052 ,6849817207 ,157916639 ,4438188593 ,3528141021 ,100282290 
A022100,포스코DX,463959472 ,1519431703 ,91941225 ,457089465 ,1486279089 ,89684898 
A251270,넷마블,5055235318 ,2484831608 ,-218380452 ,4769375390 ,798008255 ,205272845 
A079550,LIG넥스원,1070090058 ,2525308564 ,175825813 ,1070090058 ,2519099693 ,175825813 
A161390,한국타이어앤테크놀로지,9888104905 ,8962802941 ,984229095 ,5633878696 ,2955901818 ,987399490 
A241560,두산밥캣,6283326494 ,9748371475 ,930779043 ,3012331715 ,284364114 ,180131037 
A028050,삼성E&A,3695986900 ,10476202502 ,738402648 ,2431842453 ,6218660653 ,367123396 
A003230,삼양식품,623771459 ,1333101514 ,170446031 ,567877767 ,1176169157 ,155420111 
A047810,한국항공우주,1585396631 ,3990520870 ,230018346 ,1622878256 ,3966917534 ,240022838 
A180640,한진칼,2840328544 ,283112990 ,440386659 ,2614881054 ,131002815 ,244217577 
A021240,코웨이,2683395549 ,4020060747 ,473643612 ,2203591929 ,2837492658 ,363793054 
A006800,미래에셋증권,11128061422 ,1925011184 ,255026582 ,9392852115 ,1445679717 ,226309797 
A029780,삼성카드,8061515398 ,2741930087 ,641828352 ,8039222434 ,2742135341 ,639013182 
A066970,엘앤에프,984343720 ,3916844697 ,-290737307 ,992209583 ,3872296620 ,-285344969 
