symbol,company,outstandingshares,treasuryshares,shares,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni,eps,bps,sps
A005930,삼성전자,5969782550,0,5969782550,3.62315E+11,2.67106E+11,19693179000,2.32139E+11,1.79445E+11,30976441000,5188.872583,38885.74685,30058.88849
A000660,SK하이닉스,728002365,39384720,688617645,55510235000,40107206000,-4612768000,56486083000,33598341000,-1368629000,-1987.502077,82028.22482,48790.99634
A373220,LG에너지솔루션,234000000,0,234000000,20693029000,31127067000,736121000,16996841000,10897687000,306601000,1310.260684,72636.07265,46571.31197
A207940,삼성바이오로직스,71174000,0,71174000,10010237633,3920570047,895297714,8421760804,3017268251,947147533,13307.49337,118326.3664,42392.84361
A005380,현대차,209416191,5580310,203835881,95108031000,1.65552E+11,11881128000,62726955000,78032734000,10083537000,49468.90091,307732.646,382821.3836
A000270,기아,399858417,8023168,391835249,47278248000,1.02331E+11,9465372000,32090324000,60079687000,9293699000,23718.38425,81897.49157,153328.9492
A068270,셀트리온,216993223,10712500,206280723,16865980249,2315847935,392825646,16935628095,1976094597,452308525,2192.684408,82099.90662,9579.63773
A105560,KB금융,403511072,29245382,374265690,57136088000,29892458000,4172357000,27191268000,38274000,2160936000,5773.802028,72652.31285,102.2642498
A005490,POSCO홀딩스,84571230,8695023,75876207,54792478637,75798269185,1512387956,48232755702,1789829203,1189175291,15672.57165,635676.9481,23588.807
A035420,NAVER,162408594,11453085,150955509,23432991120,9916256455,1467834264,11570637548,5696019324,1376913708,9121.321356,76649.32287,37733.10005
A055550,신한지주,509393214,3181505,506211709,54401327000,28276764000,4301609000,27816359000,96327000,1697912000,3354.153944,54950.05055,190.2899484
A028260,삼성물산,177784107,15615126,162168981,36117314538,42452881298,2269054225,32413802812,24428270922,1682419652,10374.48495,199876.7126,150634.6699
A006400,삼성SDI,68764530,3331391,65433139,18897081254,22484349206,1843058151,14101834655,19632439240,1308947357,20004.34913,215515.1789,300038.1693
A051910,LG화학,70592343,0,70592343,32571399000,52574730000,1000370000,20294425000,19579376000,374852000,5310.094326,287487.6245,277358.3532
A012330,현대모비스,92995094,2986451,90008643,41467243000,58456611000,3442405000,27454143000,38003769000,1957173000,21744.27849,305016.7416,422223.5525
A003670,포스코퓨처엠,77463220,27956,77435264,2418311454,4763056157,49760959,2476460471,4532476304,58630284,757.1522453,31981.04253,58532.45756
A247540,에코프로비엠,97801344,141263,97660081,1378635895,5860337136,-96758238,1213035155,2109027608,-162705749,-1666.041512,12420.99272,21595.59552
A032830,삼성생명,200000000,20425221,179574779,41509774000,10176302000,1810599000,36547894000,10088446000,1239427000,6902.010443,203524.6498,56179.63756
A035720,카카오,443395280,4677287,438717993,9871997279,7921583049,-961026856,7307811157,2530223702,117464797,267.7455652,16657.19499,5767.312356
A086790,하나금융지주,292356598,9455718,282900880,40310806000,23804416000,3353567000,19896620000,5397000,1763537000,6233.762864,70330.71088,19.07735317
A066570,LG전자,163647814,763176,162884638,20491825000,84907842000,716396000,11262549000,29423480000,1108520000,6805.552774,69144.32901,180639.9938
