symbol,company,10차표준(세분류),주요상품,영업현황
A005930,삼성전자,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등","
4분기 들어 D램 흑자 전환

한국 및 DX부문 해외 9개 지역총괄과 DS부문 해외 5개 지역총괄, SDC, Harman 등 232개의 종속기업으로 구성된 글로벌 전자기업임. 세트사업은 TV를 비롯 모니터, 냉장고, 세탁기, 에어컨, 스마트폰, 네트워크시스템, 컴퓨터 등을 생산하는 DX부문이 있음. 부품 사업에는 DRAM, NAND Flash, 모바일AP 등의 제품을 생산하고 있는 DS 부문과 중소형OLED 등의 디스플레이 패널을 생산하고 있는 SDC가 있음.2023년 DX부문 매출은 전반적인 수요 위축으로 전년 대비 6.8% 감소, 영업이익은 플래그십 스마트폰 등 프리미엄 제품 중심으로 제품 Mix를 개선해 12.9% 증가함. DS부문은 반도체 판가 하락 및 고객사의 재고 조정으로 매출이 전년 대비 32.4% 감소하였으며, 14.8조원의 영업손실을 기록함. 4분기만 보면 메모리는 재고 정상화와 PC·모바일 제품 메모리 탑재량 증가로 수요 회복세를 보였고, 특히 D램은 흑자로 돌아섬."
A000660,SK하이닉스,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","반도체,컴퓨터,통신기기 제조,도매","
1년만에 분기 영업흑자 달성

1983년 현대전자로 설립, 2001년 하이닉스반도체를 거쳐 2012년 최대주주가 SK텔레콤으로 바뀌면서 SK하이닉스로 상호를 변경함. 국내와 중국에 4개의 생산기지와 연구개발법인, 미국, 중국, 홍콩, 대만 등에 판매법인을 운영 중임. 인텔의 NAND사업 인수는 1단계 절차를 완료함. 2023년 전체 매출 중 DRAM과 NAND가 각각 63%와 29%의 비중을 차지함.2023년 메모리 반도체 시장의 가격급락으로 인해  연결기준 매출은 전년 대비 26.6% 감소, 7.7조원의 영업적자를 기록함. 그러나 4분기에는 AI서버와 모바일향 제품 수요가 늘고, 평균판매단가가 상승하는 등 메모리 시장 환경이 개선되면서 1년만에 영업흑자를 기록함. AI용 메모리인 HBM3E 양산과 HBM4 개발을 진행하는 한편, 서버와 모바일 시장에 DDR5, LPDDR5T 등 고성능, 고용량 제품을 적기에 공급할 계획임.

"
A373220,LG에너지솔루션,일차전지 및 축전지 제조업,"2차전지 (소형,ESS,자동차전지)","
가파른 실적 성장세 지속

동사는 LG화학에서 분할되어 신설되었으며, EV, ESS 등에 적용되는 배터리 제품의 개발, 제조, 판매 하는 사업을 영위하고 있음. EV용 배터리의 경우 경쟁사 대비 앞선 개발과 공급 및 높은 에너지 밀도 등의 제품 경쟁력을 기반으로 Global 자동차 OEM 대부분을 고객으로 확보하였음. 2023년 연간 기준 세계시장에서 EV용 배터리 점유율 13.6%를 차지하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 31.8% 증가, 영업이익은 22.5% 증가, 당기순이익은 61.3% 증가. 수익성이 높은 북미지역향 수요 대응 확대 및 지속적인 원가 절감, IRA Tax Credit 수취 등을 통해 고성장을 이어가고 있음. 2023년 당기 중 신·증설 투자 및 품질 강화 투자 등에 총 10.9조원을 사용하였으며, 향후 지속적인 성장을 위해 Capa 증설 계획 등의 투자가 계획되어 있음.

"
A207940,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업,바이오의약품,"
높은 생산력에 따른 매출 성장 지속

삼성그룹의 계열사로 2011년 4월 설립되었으며, 국내외 제약회사의 첨단 바이오의약품을 위탁 생산하는 CMO 사업을 영위. 2018년 cGMP 생산을 시작하여 2019년말 기준 36.2만리터 생산설비를 가동 중이며, 이 시장에서 선발업체를 추월해 생산설비 기준 세계 1위 CMO로 도약. 동사의 바이오의약품 연구개발 자회사인 삼성바이오에피스와 아키젠바이오텍은 바이오시밀러 개발 및 상업화를 진행 중.2023년 12월 전년동기 대비 연결기준 매출액은 23.1% 증가, 영업이익은 13.2% 증가, 당기순이익은 7.5% 증가. 최대 규모의 생산설비를 통해 바이오의약품을 위탁생산하는 CMO 사업이 꾸준히 성장하고 있으며 이에 따라 매출이 크게 상승하고 있음. 2023년 6월, 4공장 24만 리터 전체 가동에 성공하며 현재 총 60.4만 리터 생산설비를 가동 중이며 글로벌 최대 규모의 생산 리더십을 지속 유지해 나갈 전망임.

"
A005380,현대차,자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업","
수출 실적 확대

동사는 1967년 12월에 설립되어 1974년 6월 28일에 유가증권시장에 상장됨. 동사는 자동차 및 자동차부품을 제조 및 판매하는 완성차 제조업체로, 현대자동차그룹에 속하였으며, 현대자동차그룹에는 동사를 포함한 국내 53개 계열회사가 있음. 소형 SUV인 코나, 대형 SUV인 팰리세이드, 제네시스 G80 및 GV80 등을 출시하여 SUV 및 고급차 라인업을 강화 하였으며, 수소전기차 넥소를 출시함.2023년 12월 전년동기 대비 연결기준 매출액은 14.4% 증가, 영업이익은 54% 증가, 당기순이익은 62.4% 증가. 반도체 등 부품 수급 불균형 상황이 일단락 됨에 따라 생산이 증가하였으며, 견조한 대기 수요에 대응하며 내수 및 수출 증가함. 원가율 안정됨에 따라 수익성 또한 크게 상승한 모습. 우수한 품질과 상품성으로 바탕으로 실적 상승 및 브랜드 가치 상승하고 있는 점 긍정적으로 평가.

"
A000270,기아,자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비","
해외시장 적극 확대

1999년 아시아자동차와 함께 현대자동차에 인수되었고, 기아차판매, 아시아자동차, 기아대전판매, 아시아차판매 등 4개사를 통합함. 국내(소하리, 화성, 광주, 위탁)와 미국, 슬로박, 멕시코, 인도 공장에서 생산하고 있으며, 모닝의 경우 동희오토 서산공장에서 위탁 생산하고 있음. 전체 매출액의 약 30% 내외를 내수시장에서 판매하고 있으며, 북중미 및 유럽시장 등 해외에서의 판매비중은 약 70% 내외임.2023년 12월 전년동기 대비 연결기준 매출액은 15.3% 증가, 영업이익은 60.5% 증가, 당기순이익은 62.3% 증가. ASP 상승 지속과 원화 약세 효과로 외형 확대되었으며, 강력한 물량효과, 가격효과, 믹스효과 등이 수익성 개선을 주도하며 영업이익 큰 폭으로 증가함. 올해도 우수한 품질 평가를 바탕으로 전기차 시장에서 성장세를 이어갈것으로 기대하고, 해외시장에서의 판매량 또한 확대될 것으로 기대함.

"
A068270,셀트리온,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마","
비용 절감으로 수익성 회복 지속

동사는 생명공학기술 및 동물세포대량배양기술을 기반으로 항암제 등 각종 단백질 치료제(therapeutic proteins)를 개발, 생산하는 것을 목적사업으로 하고 있음. 아시아 최대인 140,000L 규모의 동물세포배양 단백질의약품 생산설비를 보유하고 있으며 향후 개발 일정과 수요 등을 고려하여 3공장 신설 예정. 세계 최초 개발한 자가면역질환 치료용 바이오시밀러 ‘램시마’는 2016년 미국 FDA로 부터 판매 승인 받음.2023년 12월 전년동기 대비 연결기준 매출액은 4.7% 감소, 영업이익은 0.7% 증가, 당기순이익은 0.4% 감소. 만성질환 포트폴리오를 바탕으로 한국을 포함한 APAC 시장의 매출을 확대해 나가면서 비용도 절감함에 따라 수익성이 증가하고 있음. 램시마의 유럽 시장 점유율은 59%로 미국 시장의 경우 꾸준히 판매량이 증가하고 있는 추세이며, 미국 시장 내 시장점유율은 28%를 달성하였음.

"
A005490,POSCO홀딩스,"제철, 제강 및 합금철 제조업","열연코일,냉연강판,후판,선재,스테인리스 제조","
영업이익 및 당기순이익 감소

동사는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 영위하고 있으며, 무역/건설/에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영. 제선, 제강 및 압연재의 생산과 판매를 주요 사업으로 영위하고 있는 업체 그룹 전반의 성장 전략을 수립하고  미래 사업 테마를 발굴하며 M&A 등 신사업을 추진하는 미래사업 포트폴리오 개발자 역할을 수행.2023년 12월 전년동기 대비 연결기준 매출액은 9% 감소, 영업이익은 27.2% 감소, 당기순이익은 48.2% 감소. 동사는 전기차용 이차전지의 시장규모 확대를 예상해 설비 확충 등 성장 사업 발굴을 위한 투자에 집중하고 있어서  매출 성장이 기대됨. 철강 판매량은 계절적 비수기와 일부 하공정 라인 수리 영향으로 소폭 감소하여고, 전기차 수요 둔화에 따른 리튬사업 수익성 전망 및 사업가치 할인이 불가피한 상황임.

"
A035420,NAVER,포털 및 기타 인터넷 정보매개 서비스업,포털 서비스 및 온라인 광고,"
매출 호조로 영업이익도 증가

동사는 국내 1위 포털 서비스를 기반으로 광고, 쇼핑, 디지털 간편결제 사업을 영위하고 있으며, 공공/금융 분야를 중심으로 클라우드를 비롯한 다양한 IT 인프라 및 기업향 솔루션 제공을 확대해가고 있음. K-IFRS기준 연결대상 종속회사는 103개사(연결법인은 당사를 포함해서 총 104개사) 보유하고 있음. 인공지능, 로보틱스 등 미래 기술에 대한 지속적인 연구개발을 통해 기술플랫폼의 변화와 혁신을 추구하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 17.6% 증가, 영업이익은 14.1% 증가, 당기순이익은 33.2% 증가. oshmark 연결 편입효과에 따른 영업수익 증가, 엔데믹으로 인한 여행 매출 수요 증대, 브랜드솔루션, 도착보장 신규 과금, 카메라 AI 시리즈 흥행에 의한 매출 신장. 기존 사업의 지속가능한 성장과 함께 AI 기술을 활용한 새로운 네이버의 서비스 경쟁력을 앞세워 글로벌 시장에서도 경쟁할 방침.

"
A051910,LG화학,기초 유기 화학물질 제조업,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매","
2차전지 첨단소재 꾸준한 성장

동사는 석유화학 사업부문, 전지 사업부문, 첨단소재 사업부문, 생명과학 사업부문, 공통 및 기타부문의 사업을 영위하고 있음. 연결회사는 2020년 12월 1일 전지 사업부문을 단순·물적분할하여 (주)LG에너지솔루션 및 그 종속기업을 설립함. 동사는 양극재, 엔지니어링 소재, IT소재의 경쟁력을 바탕으로 고부가 제품을 중심으로 한 포트폴리오 전환을 추진 중에 있음.2023년 12월 전년동기 대비 연결기준 매출액은 8.4% 증가, 영업이익은 15.1% 감소, 당기순이익은 6.5% 감소. LG에너지솔루션 60.94%, 석유화학 사업부문 31.15%, 첨단소재 사업부문 4.42%, 생명과학 사업부문 2.04%, 공통 및 기타부문 1.46%로 매출구성. 석유화학 사업부문은 수요 침체, 유가 및 원료가 상승 등 시황이 악화되어, 매출액 감소 및 영업손실 적자 전환.

"
