Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A005930,삼성전자,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업
A000660,SK하이닉스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업"
A373220,LG에너지솔루션,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업
A207940,삼성바이오로직스,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A005380,현대차,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 제조업,내연기관 승용차 및 기타 여객용 자동차 제조업
A068270,셀트리온,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A000270,기아,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 제조업,내연기관 승용차 및 기타 여객용 자동차 제조업
A105560,KB금융,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A055550,신한지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A005490,POSCO홀딩스,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업","제철, 제강 및 합금철 제조업"
A028260,삼성물산,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,기타 전문 도매업,기타 전문 도매업
A035420,NAVER,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
A006400,삼성SDI,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
A051910,LG화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
A012330,현대모비스,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업
A329180,HD현대중공업,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 보트 건조업,선박 및 보트 건조업
A086790,하나금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A247540,에코프로비엠,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
A032830,삼성생명,금융 및 보험업,보험업,보험업,생명 보험업,생명 보험업
A138040,메리츠금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A003670,포스코퓨처엠,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업
A035720,카카오,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
A000810,삼성화재,금융 및 보험업,보험업,보험업,손해 및 보증 보험업,손해 보험업
A196170,알테오젠,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A066570,LG전자,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업
A259960,크래프톤,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업
A012450,한화에어로스페이스,제조업,기타 운송장비 제조업,"항공기, 우주선 및 부품 제조업",항공기용 엔진 및 부품 제조업,항공기용 엔진 제조업
A009540,HD한국조선해양,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
